tau,lmin,chr,lo,hi,score,q_R,cl
0.02,1,7,796004,796043,0.0725,0.0421184975640421,2
0.02,2,7,796004,796043,0.0725,0.0416524411061796,2
0.02,3,7,796004,796043,0.0725,0.0406461698801459,2
0.02,1,7,898851,898851,0.0375,0.0260143661424966,3
0.02,1,7,1976297,1976353,0.1175,0.0421184975640421,4
0.02,2,7,1976297,1976353,0.1175,0.0416524411061796,4
0.02,3,7,1976297,1976353,0.1175,0.0406461698801459,4
0.04,1,7,1976297,1976297,0.0675,0.0411079082591804,4
0.06,1,7,1976297,1976297,0.0675,0.0410984494675883,4
0.02,1,7,9773368,9773368,0.0325,0.0353795379537954,5
0.02,1,7,11532035,11665215,2.2225,0.0260143661424966,6
0.02,2,7,11532035,11665215,2.2225,0.0335533553355336,6
0.02,3,7,11532035,11665215,2.2225,0.0406461698801459,6
0.02,5,7,11532035,11665215,2.2225,0.0422442244224422,6
0.02,10,7,11532035,11665215,2.2225,0.0264026402640264,6
0.02,15,7,11532035,11665215,2.2225,0.0198019801980198,6
0.02,20,7,11532035,11665215,2.2225,0.0165016501650165,6
0.04,1,7,11554890,11662441,1.94,0.0261897157457681,6
0.04,2,7,11554890,11662441,1.94,0.0427722772277228,6
0.04,3,7,11554890,11662441,1.94,0.0418041804180418,6
0.04,5,7,11554890,11662441,1.94,0.0396039603960396,6
0.04,10,7,11554890,11662441,1.94,0.0198019801980198,6
0.06,1,7,11573263,11656976,1.7225,0.0410984494675883,6
0.06,2,7,11573263,11656976,1.7225,0.0396039603960396,6
0.06,3,7,11573263,11656976,1.7225,0.0396039603960396,6
0.06,5,7,11573263,11656976,1.7225,0.0396039603960396,6
0.08,1,7,11573263,11656976,1.5925,0.0405699106496015,6
0.08,2,7,11573263,11656976,1.5925,0.0396039603960396,6
0.08,3,7,11573263,11656976,1.5925,0.0396039603960396,6
0.1,1,7,11573263,11656976,1.5925,0.0385038503850385,6
0.1,2,7,11573263,11656976,1.5925,0.0396039603960396,6
0.1,3,7,11573263,11656976,1.5925,0.0396039603960396,6
0.12,1,7,11573263,11647724,1.475,0.0336633663366337,6
0.12,2,7,11573263,11647724,1.475,0.0396039603960396,6
0.12,3,7,11573263,11647724,1.475,0.0346534653465347,6
0.14,1,7,11573263,11647724,1.475,0.0371287128712871,6
0.14,2,7,11573263,11647724,1.475,0.0363036303630363,6
0.14,3,7,11573263,11647724,1.475,0.0297029702970297,6
0.16,1,7,11573263,11647724,1.475,0.0353606789250354,6
0.16,2,7,11573263,11647724,1.475,0.033003300330033,6
0.16,3,7,11573263,11647724,1.475,0.0297029702970297,6
0.18,1,7,11573263,11647724,1.475,0.0353606789250354,6
0.18,2,7,11573263,11647724,1.475,0.0297029702970297,6
0.18,3,7,11573263,11647724,1.475,0.0247524752475248,6
0.2,1,7,11573263,11647724,1.475,0.0325318246110325,6
0.2,2,7,11573263,11647724,1.475,0.0297029702970297,6
0.2,3,7,11573263,11647724,1.475,0.0198019801980198,6
0.22,1,7,11573263,11647724,1.475,0.0325318246110325,6
0.22,2,7,11573263,11647724,1.475,0.0297029702970297,6
0.22,3,7,11573263,11647724,1.475,0.0198019801980198,6
0.24,1,7,11573263,11647724,1.475,0.0363036303630363,6
0.24,2,7,11573263,11647724,1.475,0.0297029702970297,6
0.24,3,7,11573263,11647724,1.475,0.0198019801980198,6
0.26,1,7,11573263,11647724,1.475,0.0346534653465347,6
0.26,2,7,11573263,11647724,1.475,0.0264026402640264,6
0.26,3,7,11573263,11647724,1.475,0.0148514851485149,6
0.28,1,7,11647721,11647724,1.2125,0.033003300330033,6
0.28,2,7,11647721,11647724,1.2125,0.0264026402640264,6
0.3,1,7,11647721,11647724,1.2125,0.0356435643564357,6
0.3,2,7,11647721,11647724,1.2125,0.0264026402640264,6
0.32,1,7,11647721,11647724,1.2125,0.0374037403740374,6
0.32,2,7,11647721,11647724,1.2125,0.0264026402640264,6
0.34,1,7,11647721,11647724,1.2125,0.0316831683168317,6
0.34,2,7,11647721,11647724,1.2125,0.0231023102310231,6
0.36,1,7,11647721,11647724,1.2125,0.0277227722772277,6
0.36,2,7,11647721,11647724,1.2125,0.0198019801980198,6
0.38,1,7,11647721,11647724,1.2125,0.0237623762376238,6
0.38,2,7,11647721,11647724,1.2125,0.0198019801980198,6
0.4,1,7,11647721,11647724,1.2125,0.0237623762376238,6
0.4,2,7,11647721,11647724,1.2125,0.0165016501650165,6
0.42,1,7,11647721,11647724,1.2125,0.0217821782178218,6
0.42,2,7,11647721,11647724,1.2125,0.0165016501650165,6
0.44,1,7,11647721,11647724,1.2125,0.0198019801980198,6
0.44,2,7,11647721,11647724,1.2125,0.0165016501650165,6
0.46,1,7,11647721,11647724,1.2125,0.0165016501650165,6
0.46,2,7,11647721,11647724,1.2125,0.0198019801980198,6
0.48,1,7,11647721,11647721,0.745,0.0178217821782178,6
0.5,1,7,11647721,11647721,0.745,0.0198019801980198,6
0.02,1,7,16043499,16043499,0.045,0.0260143661424966,7
0.04,1,7,16043499,16043499,0.045,0.0261897157457681,7
0.02,1,7,17369055,17369055,0.0225,0.0353795379537954,8
0.02,1,7,20792690,20792690,0.035,0.0498771681679446,9
0.02,1,7,27719164,27719164,0.035,0.0260143661424966,10
0.02,1,8,1502041,1502323,0.05,0.0421184975640421,1
0.02,2,8,1502041,1502323,0.05,0.0416524411061796,1
0.02,1,8,9392691,9392691,0.0225,0.0260143661424966,2
0.02,1,8,9394660,9394660,0.0725,0.0260143661424966,2
0.04,1,8,9394660,9394660,0.0725,0.0261897157457681,2
0.06,1,8,9394660,9394660,0.0725,0.0410984494675883,2
0.02,1,8,10328909,10329011,0.1375,0.0260143661424966,3
0.02,2,8,10328909,10329011,0.1375,0.0335533553355336,3
0.02,3,8,10328909,10329011,0.1375,0.0406461698801459,3
0.04,1,8,10329011,10329011,0.05,0.0261897157457681,3
0.02,1,8,10818479,10818479,0.15,0.0260143661424966,4
0.04,1,8,10818479,10818479,0.15,0.0261897157457681,4
0.06,1,8,10818479,10818479,0.15,0.0410984494675883,4
0.08,1,8,10818479,10818479,0.15,0.0405699106496015,4
0.1,1,8,10818479,10818479,0.15,0.0385038503850385,4
0.12,1,8,10818479,10818479,0.15,0.0336633663366337,4
0.14,1,8,10818479,10818479,0.15,0.0371287128712871,4
0.02,1,8,10897695,10897695,0.045,0.0260143661424966,5
0.04,1,8,10897695,10897695,0.045,0.0261897157457681,5
0.02,1,9,300583,300595,0.06,0.0421184975640421,1
0.02,2,9,300583,300595,0.06,0.0416524411061796,1
0.02,3,9,300583,300595,0.06,0.0406461698801459,1
0.02,1,9,2958447,2959707,0.075,0.0260143661424966,2
0.02,2,9,2958447,2959707,0.075,0.0335533553355336,2
0.04,1,9,2958447,2958447,0.0475,0.0261897157457681,2
0.02,1,9,4102720,4102720,0.0225,0.0260143661424966,3
0.02,1,9,4245720,4245720,0.0575,0.0260143661424966,4
0.04,1,9,4245720,4245720,0.0575,0.0261897157457681,4
0.02,1,9,9436467,9436669,0.175,0.0421184975640421,5
0.02,2,9,9436467,9436669,0.175,0.0416524411061796,5
0.04,1,9,9436669,9436669,0.15,0.0411079082591804,5
0.06,1,9,9436669,9436669,0.15,0.0410984494675883,5
0.08,1,9,9436669,9436669,0.15,0.0405699106496015,5
0.1,1,9,9436669,9436669,0.15,0.040768782760629,5
0.12,1,9,9436669,9436669,0.15,0.0408040804080408,5
0.14,1,9,9436669,9436669,0.15,0.0409696142027996,5
0.02,1,9,16060806,16060807,0.09,0.0353795379537954,6
0.02,2,9,16060806,16060807,0.09,0.0416524411061796,6
0.04,1,9,16060806,16060807,0.09,0.0360836083608361,6
0.04,2,9,16060806,16060807,0.09,0.0427722772277228,6
0.02,1,10,6355916,6355916,0.055,0.0421184975640421,1
0.04,1,10,6355916,6355916,0.055,0.0411079082591804,1
0.02,1,10,10602065,10602065,0.5175,0.0260143661424966,2
0.04,1,10,10602065,10602065,0.5175,0.0261897157457681,2
0.06,1,10,10602065,10602065,0.5175,0.0410984494675883,2
0.08,1,10,10602065,10602065,0.5175,0.0405699106496015,2
0.1,1,10,10602065,10602065,0.5175,0.0385038503850385,2
0.12,1,10,10602065,10602065,0.5175,0.0336633663366337,2
0.14,1,10,10602065,10602065,0.5175,0.0371287128712871,2
0.16,1,10,10602065,10602065,0.5175,0.0353606789250354,2
0.18,1,10,10602065,10602065,0.5175,0.0353606789250354,2
0.2,1,10,10602065,10602065,0.5175,0.0325318246110325,2
0.22,1,10,10602065,10602065,0.5175,0.0325318246110325,2
0.24,1,10,10602065,10602065,0.5175,0.0363036303630363,2
0.26,1,10,10602065,10602065,0.5175,0.0346534653465347,2
0.28,1,10,10602065,10602065,0.5175,0.033003300330033,2
0.3,1,10,10602065,10602065,0.5175,0.0356435643564357,2
0.32,1,10,10602065,10602065,0.5175,0.0374037403740374,2
0.34,1,10,10602065,10602065,0.5175,0.0316831683168317,2
0.36,1,10,10602065,10602065,0.5175,0.0277227722772277,2
0.38,1,10,10602065,10602065,0.5175,0.0237623762376238,2
0.4,1,10,10602065,10602065,0.5175,0.0237623762376238,2
0.42,1,10,10602065,10602065,0.5175,0.0217821782178218,2
0.44,1,10,10602065,10602065,0.5175,0.0198019801980198,2
0.46,1,10,10602065,10602065,0.5175,0.0165016501650165,2
0.48,1,10,10602065,10602065,0.5175,0.0178217821782178,2
0.5,1,10,10602065,10602065,0.5175,0.0198019801980198,2
0.02,1,10,15421797,15421799,0.1725,0.0353795379537954,3
0.02,2,10,15421797,15421799,0.1725,0.0416524411061796,3
0.04,1,10,15421797,15421797,0.1475,0.0360836083608361,3
0.06,1,10,15421797,15421797,0.1475,0.0410984494675883,3
0.08,1,10,15421797,15421797,0.1475,0.0405699106496015,3
0.1,1,10,15421797,15421797,0.1475,0.040768782760629,3
0.12,1,10,15421797,15421797,0.1475,0.0408040804080408,3
0.14,1,10,15421797,15421797,0.1475,0.0405040504050405,3
0.02,1,11,227324,227324,0.095,0.0421184975640421,1
0.04,1,11,227324,227324,0.095,0.0411079082591804,1
0.06,1,11,227324,227324,0.095,0.0410984494675883,1
0.08,1,11,227324,227324,0.095,0.0405699106496015,1
0.02,1,11,861659,861662,0.055,0.0421184975640421,2
0.02,2,11,861659,861662,0.055,0.0416524411061796,2
0.02,1,11,959080,959080,0.05,0.0421184975640421,3
0.04,1,11,959080,959080,0.05,0.0411079082591804,3
0.02,1,11,2035584,2035584,0.27,0.0421184975640421,4
0.04,1,11,2035584,2035584,0.27,0.0411079082591804,4
0.06,1,11,2035584,2035584,0.27,0.0410984494675883,4
0.08,1,11,2035584,2035584,0.27,0.0405699106496015,4
0.1,1,11,2035584,2035584,0.27,0.040768782760629,4
0.12,1,11,2035584,2035584,0.27,0.0408040804080408,4
0.14,1,11,2035584,2035584,0.27,0.0405040504050405,4
0.16,1,11,2035584,2035584,0.27,0.0390828556539865,4
0.18,1,11,2035584,2035584,0.27,0.0390828556539865,4
0.2,1,11,2035584,2035584,0.27,0.037953795379538,4
0.22,1,11,2035584,2035584,0.27,0.037953795379538,4
0.24,1,11,2035584,2035584,0.27,0.0384391380314502,4
0.26,1,11,2035584,2035584,0.27,0.0389851485148515,4
0.02,1,11,5735803,5735803,0.15,0.0421184975640421,5
0.04,1,11,5735803,5735803,0.15,0.0411079082591804,5
0.06,1,11,5735803,5735803,0.15,0.0410984494675883,5
0.08,1,11,5735803,5735803,0.15,0.0405699106496015,5
0.1,1,11,5735803,5735803,0.15,0.040768782760629,5
0.12,1,11,5735803,5735803,0.15,0.0408040804080408,5
0.14,1,11,5735803,5735803,0.15,0.0405040504050405,5
0.02,1,11,6460447,6460462,0.0875,0.0421184975640421,6
0.02,2,11,6460447,6460462,0.0875,0.0416524411061796,6
0.02,3,11,6460447,6460462,0.0875,0.0406461698801459,6
0.02,1,11,7386078,7386078,0.0425,0.0260143661424966,7
0.04,1,11,7386078,7386078,0.0425,0.0261897157457681,7
0.02,1,11,7730129,7730728,0.06,0.0260143661424966,8
0.02,2,11,7730129,7730728,0.06,0.0335533553355336,8
0.02,1,11,8858384,9081517,0.1225,0.0421184975640421,9
0.02,2,11,8858384,9081517,0.1225,0.0416524411061796,9
0.02,3,11,8858384,9081517,0.1225,0.0406461698801459,9
0.04,1,11,9001877,9081517,0.0975,0.0411079082591804,9
0.04,2,11,9001877,9081517,0.0975,0.0427722772277228,9
0.02,1,11,11990229,12093427,0.1175,0.0353795379537954,10
0.02,2,11,11990229,12093427,0.1175,0.0416524411061796,10
0.02,3,11,11990229,12093427,0.1175,0.0406461698801459,10
0.04,1,11,11990229,11990229,0.04,0.0261897157457681,10
0.02,1,11,15737727,15737727,0.365,0.0353795379537954,11
0.04,1,11,15737727,15737727,0.365,0.0360836083608361,11
0.06,1,11,15737727,15737727,0.365,0.0410984494675883,11
0.08,1,11,15737727,15737727,0.365,0.0405699106496015,11
0.1,1,11,15737727,15737727,0.365,0.040768782760629,11
0.12,1,11,15737727,15737727,0.365,0.0408040804080408,11
0.14,1,11,15737727,15737727,0.365,0.0405040504050405,11
0.16,1,11,15737727,15737727,0.365,0.0390828556539865,11
0.18,1,11,15737727,15737727,0.365,0.0390828556539865,11
0.2,1,11,15737727,15737727,0.365,0.037953795379538,11
0.22,1,11,15737727,15737727,0.365,0.037953795379538,11
0.24,1,11,15737727,15737727,0.365,0.0384391380314502,11
0.26,1,11,15737727,15737727,0.365,0.0378037803780378,11
0.28,1,11,15737727,15737727,0.365,0.036003600360036,11
0.3,1,11,15737727,15737727,0.365,0.0356435643564357,11
0.32,1,11,15737727,15737727,0.365,0.0374037403740374,11
0.34,1,11,15737727,15737727,0.365,0.0396039603960396,11
0.36,1,11,15737727,15737727,0.365,0.0346534653465347,11
0.02,1,12,407442,407442,0.0325,0.0353795379537954,1
0.02,1,12,6452067,6452834,0.12,0.0260143661424966,2
0.02,2,12,6452067,6452834,0.12,0.0335533553355336,2
0.02,3,12,6452067,6452834,0.12,0.0406461698801459,2
0.04,1,12,6452406,6452406,0.0575,0.0261897157457681,2
0.02,1,12,11752339,11752344,0.145,0.0421184975640421,3
0.02,2,12,11752339,11752344,0.145,0.0416524411061796,3
0.02,3,12,11752339,11752344,0.145,0.0406461698801459,3
0.04,1,12,11752342,11752342,0.0925,0.0411079082591804,3
0.06,1,12,11752342,11752342,0.0925,0.0410984494675883,3
0.08,1,12,11752342,11752342,0.0925,0.0405699106496015,3
0.02,1,12,12611388,12611394,0.085,0.0421184975640421,4
0.02,2,12,12611388,12611394,0.085,0.0416524411061796,4
0.04,1,12,12611388,12611394,0.085,0.0411079082591804,4
0.04,2,12,12611388,12611394,0.085,0.0427722772277228,4
0.02,1,12,15547672,15547701,0.395,0.0421184975640421,5
0.02,2,12,15547672,15547701,0.395,0.0416524411061796,5
0.02,3,12,15547672,15547701,0.395,0.0406461698801459,5
0.02,5,12,15547672,15547701,0.395,0.0422442244224422,5
0.04,1,12,15547672,15547687,0.34,0.0411079082591804,5
0.04,2,12,15547672,15547687,0.34,0.0427722772277228,5
0.04,3,12,15547672,15547687,0.34,0.0418041804180418,5
0.06,1,12,15547672,15547687,0.34,0.0410984494675883,5
0.06,2,12,15547672,15547687,0.34,0.0396039603960396,5
0.06,3,12,15547672,15547687,0.34,0.0396039603960396,5
0.08,1,12,15547681,15547681,0.1275,0.0405699106496015,5
0.1,1,12,15547681,15547681,0.1275,0.040768782760629,5
0.12,1,12,15547681,15547681,0.1275,0.0408040804080408,5
0.02,1,12,16521511,16547310,0.9225,0.0421184975640421,6
0.02,2,12,16521511,16547310,0.9225,0.0416524411061796,6
0.02,3,12,16521511,16547310,0.9225,0.0406461698801459,6
0.02,5,12,16521511,16547310,0.9225,0.0422442244224422,6
0.02,10,12,16521511,16547310,0.9225,0.0339462517680339,6
0.04,1,12,16522011,16546969,0.755,0.0411079082591804,6
0.04,2,12,16522011,16546969,0.755,0.0427722772277228,6
0.04,3,12,16522011,16546969,0.755,0.0418041804180418,6
0.04,5,12,16522011,16546969,0.755,0.0396039603960396,6
0.06,1,12,16522011,16546969,0.755,0.0410984494675883,6
0.06,2,12,16522011,16546969,0.755,0.0396039603960396,6
0.06,3,12,16522011,16546969,0.755,0.0396039603960396,6
0.06,5,12,16522011,16546969,0.755,0.0396039603960396,6
0.02,1,12,16537372,16537372,0.345,0.0421184975640421,6
0.04,1,12,16537372,16537372,0.345,0.0411079082591804,6
0.06,1,12,16537372,16537372,0.345,0.0410984494675883,6
0.08,1,12,16537372,16537372,0.345,0.0405699106496015,6
0.1,1,12,16537372,16537372,0.345,0.040768782760629,6
0.12,1,12,16537372,16537372,0.345,0.0408040804080408,6
0.14,1,12,16537372,16537372,0.345,0.0405040504050405,6
0.16,1,12,16537372,16537372,0.345,0.0390828556539865,6
0.18,1,12,16537372,16537372,0.345,0.0390828556539865,6
0.2,1,12,16537372,16537372,0.345,0.037953795379538,6
0.22,1,12,16537372,16537372,0.345,0.037953795379538,6
0.24,1,12,16537372,16537372,0.345,0.0384391380314502,6
0.26,1,12,16537372,16537372,0.345,0.0389851485148515,6
0.28,1,12,16537372,16537372,0.345,0.0396039603960396,6
0.3,1,12,16537372,16537372,0.345,0.0396039603960396,6
0.32,1,12,16537372,16537372,0.345,0.0388423457730388,6
0.34,1,12,16537372,16537372,0.345,0.0396039603960396,6
0.08,1,12,16546887,16546969,0.5425,0.0405699106496015,6
0.08,2,12,16546887,16546969,0.5425,0.0396039603960396,6
0.1,1,12,16546887,16546969,0.5425,0.040768782760629,6
0.1,2,12,16546887,16546969,0.5425,0.0396039603960396,6
0.12,1,12,16546887,16546969,0.5425,0.0408040804080408,6
0.12,2,12,16546887,16546969,0.5425,0.0396039603960396,6
0.14,1,12,16546887,16546969,0.5425,0.0405040504050405,6
0.14,2,12,16546887,16546969,0.5425,0.0396039603960396,6
0.16,1,12,16546969,16546969,0.4,0.0390828556539865,6
0.18,1,12,16546969,16546969,0.4,0.0390828556539865,6
0.2,1,12,16546969,16546969,0.4,0.037953795379538,6
0.22,1,12,16546969,16546969,0.4,0.037953795379538,6
0.24,1,12,16546969,16546969,0.4,0.0384391380314502,6
0.26,1,12,16546969,16546969,0.4,0.0389851485148515,6
0.28,1,12,16546969,16546969,0.4,0.0396039603960396,6
0.3,1,12,16546969,16546969,0.4,0.0396039603960396,6
0.32,1,12,16546969,16546969,0.4,0.0388423457730388,6
0.34,1,12,16546969,16546969,0.4,0.0396039603960396,6
0.36,1,12,16546969,16546969,0.4,0.0396039603960396,6
0.38,1,12,16546969,16546969,0.4,0.0297029702970297,6
0.4,1,12,16546969,16546969,0.4,0.0297029702970297,6
0.02,1,13,1224553,1224557,0.1475,0.0353795379537954,1
0.02,2,13,1224553,1224557,0.1475,0.0416524411061796,1
0.02,3,13,1224553,1224557,0.1475,0.0406461698801459,1
0.02,1,13,4320182,4320182,0.0225,0.0421184975640421,2
0.02,1,13,6463201,6463210,0.72,0.0421184975640421,3
0.02,2,13,6463201,6463210,0.72,0.0416524411061796,3
0.04,1,13,6463201,6463210,0.72,0.0411079082591804,3
0.04,2,13,6463201,6463210,0.72,0.0427722772277228,3
0.06,1,13,6463201,6463210,0.72,0.0410984494675883,3
0.06,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.08,1,13,6463201,6463210,0.72,0.0405699106496015,3
0.08,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.1,1,13,6463201,6463210,0.72,0.040768782760629,3
0.1,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.12,1,13,6463201,6463210,0.72,0.0408040804080408,3
0.12,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.14,1,13,6463201,6463210,0.72,0.0405040504050405,3
0.14,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.16,1,13,6463201,6463210,0.72,0.0390828556539865,3
0.16,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.18,1,13,6463201,6463210,0.72,0.0390828556539865,3
0.18,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.2,1,13,6463201,6463210,0.72,0.037953795379538,3
0.2,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.22,1,13,6463201,6463210,0.72,0.037953795379538,3
0.22,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.24,1,13,6463201,6463210,0.72,0.0384391380314502,3
0.24,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.26,1,13,6463201,6463210,0.72,0.0389851485148515,3
0.26,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.28,1,13,6463201,6463210,0.72,0.0396039603960396,3
0.28,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.3,1,13,6463201,6463210,0.72,0.0396039603960396,3
0.3,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.32,1,13,6463201,6463210,0.72,0.0388423457730388,3
0.32,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.34,1,13,6463201,6463210,0.72,0.0396039603960396,3
0.34,2,13,6463201,6463210,0.72,0.0396039603960396,3
0.36,1,13,6463201,6463201,0.37,0.0396039603960396,3
0.02,1,13,8056683,8056683,0.0675,0.0421184975640421,4
0.04,1,13,8056683,8056683,0.0675,0.0411079082591804,4
0.06,1,13,8056683,8056683,0.0675,0.0410984494675883,4
0.02,1,13,8073463,8073463,0.0475,0.0260143661424966,5
0.04,1,13,8073463,8073463,0.0475,0.0261897157457681,5
0.02,1,13,16916359,16916359,0.29,0.0260143661424966,6
0.04,1,13,16916359,16916359,0.29,0.0261897157457681,6
0.06,1,13,16916359,16916359,0.29,0.0410984494675883,6
0.08,1,13,16916359,16916359,0.29,0.0405699106496015,6
0.1,1,13,16916359,16916359,0.29,0.0385038503850385,6
0.12,1,13,16916359,16916359,0.29,0.0336633663366337,6
0.14,1,13,16916359,16916359,0.29,0.0371287128712871,6
0.16,1,13,16916359,16916359,0.29,0.0353606789250354,6
0.18,1,13,16916359,16916359,0.29,0.0353606789250354,6
0.2,1,13,16916359,16916359,0.29,0.0325318246110325,6
0.22,1,13,16916359,16916359,0.29,0.0325318246110325,6
0.24,1,13,16916359,16916359,0.29,0.0363036303630363,6
0.26,1,13,16916359,16916359,0.29,0.0346534653465347,6
0.28,1,13,16916359,16916359,0.29,0.033003300330033,6
0.02,1,14,5446401,5446401,0.0275,0.0421184975640421,1
0.02,1,14,8421397,8421397,0.0225,0.0260143661424966,2
0.02,1,14,10272106,10272106,0.0225,0.0260143661424966,3
0.02,1,14,11803038,11803366,0.0725,0.0421184975640421,4
0.02,2,14,11803038,11803366,0.0725,0.0416524411061796,4
0.02,3,14,11803038,11803366,0.0725,0.0406461698801459,4
0.02,1,14,11983306,11983306,0.045,0.0260143661424966,5
0.04,1,14,11983306,11983306,0.045,0.0261897157457681,5
0.02,1,14,14974052,14974076,0.38,0.0421184975640421,6
0.02,2,14,14974052,14974076,0.38,0.0416524411061796,6
0.04,1,14,14974052,14974052,0.3525,0.0411079082591804,6
0.06,1,14,14974052,14974052,0.3525,0.0410984494675883,6
0.08,1,14,14974052,14974052,0.3525,0.0405699106496015,6
0.1,1,14,14974052,14974052,0.3525,0.040768782760629,6
0.12,1,14,14974052,14974052,0.3525,0.0408040804080408,6
0.14,1,14,14974052,14974052,0.3525,0.0409696142027996,6
0.16,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.18,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.2,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.22,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.24,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.26,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.28,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.3,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.32,1,14,14974052,14974052,0.3525,0.0388423457730388,6
0.34,1,14,14974052,14974052,0.3525,0.0396039603960396,6
0.02,1,15,1480585,1480585,0.0275,0.0260143661424966,1
0.02,1,15,2915119,2915119,0.0525,0.0353795379537954,2
0.04,1,15,2915119,2915119,0.0525,0.0360836083608361,2
0.02,1,15,4972584,4972585,0.055,0.0260143661424966,3
0.02,2,15,4972584,4972585,0.055,0.0335533553355336,3
0.02,1,15,8213182,8213182,0.0325,0.0353795379537954,4
0.02,1,15,9498134,9498841,0.085,0.0260143661424966,5
0.02,2,15,9498134,9498841,0.085,0.0335533553355336,5
0.04,1,15,9498841,9498841,0.065,0.0261897157457681,5
0.06,1,15,9498841,9498841,0.065,0.0410984494675883,5
0.02,1,15,12803162,12803162,0.03,0.0260143661424966,6
0.02,1,15,14373469,14373469,0.0925,0.0421184975640421,7
0.04,1,15,14373469,14373469,0.0925,0.0411079082591804,7
0.06,1,15,14373469,14373469,0.0925,0.0410984494675883,7
0.08,1,15,14373469,14373469,0.0925,0.0405699106496015,7
0.02,1,15,14641943,14641943,0.02,0.0260143661424966,8
0.02,1,15,14880210,14880220,0.2525,0.0260143661424966,9
0.02,2,15,14880210,14880220,0.2525,0.0335533553355336,9
0.04,1,15,14880220,14880220,0.2325,0.0261897157457681,9
0.06,1,15,14880220,14880220,0.2325,0.0410984494675883,9
0.08,1,15,14880220,14880220,0.2325,0.0405699106496015,9
0.1,1,15,14880220,14880220,0.2325,0.0385038503850385,9
0.12,1,15,14880220,14880220,0.2325,0.0336633663366337,9
0.14,1,15,14880220,14880220,0.2325,0.0371287128712871,9
0.16,1,15,14880220,14880220,0.2325,0.0353606789250354,9
0.18,1,15,14880220,14880220,0.2325,0.0353606789250354,9
0.2,1,15,14880220,14880220,0.2325,0.0325318246110325,9
0.22,1,15,14880220,14880220,0.2325,0.0325318246110325,9
0.02,1,16,710502,710502,0.06,0.0260143661424966,1
0.04,1,16,710502,710502,0.06,0.0261897157457681,1
0.06,1,16,710502,710502,0.06,0.0410984494675883,1
0.02,1,16,776782,776782,0.0325,0.0353795379537954,2
0.02,1,16,814556,814587,1.29,0.0260143661424966,3
0.02,2,16,814556,814587,1.29,0.0335533553355336,3
0.04,1,16,814556,814587,1.29,0.0261897157457681,3
0.04,2,16,814556,814587,1.29,0.0427722772277228,3
0.06,1,16,814556,814587,1.29,0.0410984494675883,3
0.06,2,16,814556,814587,1.29,0.0396039603960396,3
0.08,1,16,814556,814587,1.29,0.0405699106496015,3
0.08,2,16,814556,814587,1.29,0.0396039603960396,3
0.1,1,16,814556,814587,1.29,0.0385038503850385,3
0.1,2,16,814556,814587,1.29,0.0396039603960396,3
0.12,1,16,814556,814587,1.29,0.0336633663366337,3
0.12,2,16,814556,814587,1.29,0.0396039603960396,3
0.14,1,16,814556,814587,1.29,0.0371287128712871,3
0.14,2,16,814556,814587,1.29,0.0363036303630363,3
0.16,1,16,814556,814587,1.29,0.0353606789250354,3
0.16,2,16,814556,814587,1.29,0.033003300330033,3
0.18,1,16,814556,814587,1.29,0.0353606789250354,3
0.18,2,16,814556,814587,1.29,0.0297029702970297,3
0.2,1,16,814556,814587,1.29,0.0325318246110325,3
0.2,2,16,814556,814587,1.29,0.0297029702970297,3
0.22,1,16,814556,814587,1.29,0.0325318246110325,3
0.22,2,16,814556,814587,1.29,0.0297029702970297,3
0.24,1,16,814556,814587,1.29,0.0363036303630363,3
0.24,2,16,814556,814587,1.29,0.0297029702970297,3
0.26,1,16,814556,814587,1.29,0.0346534653465347,3
0.26,2,16,814556,814587,1.29,0.0264026402640264,3
0.28,1,16,814556,814587,1.29,0.033003300330033,3
0.28,2,16,814556,814587,1.29,0.0264026402640264,3
0.3,1,16,814556,814587,1.29,0.0356435643564357,3
0.3,2,16,814556,814587,1.29,0.0264026402640264,3
0.32,1,16,814556,814587,1.29,0.0374037403740374,3
0.32,2,16,814556,814587,1.29,0.0264026402640264,3
0.34,1,16,814556,814587,1.29,0.0316831683168317,3
0.34,2,16,814556,814587,1.29,0.0231023102310231,3
