CELL,TAG,i,Chr,ldw,n_all,n_flag,n_gap,over,mx
V1_c1.5,bgs,1,Chr2,0.1,11427,21,20,6,3050745
V1_c1.5,bgs,2,Chr1,0.0125,8507,3437,3436,9,282534
V1_c1.5,bgs,2,Chr2,0.0125,8507,3329,3328,9,306256
V1_c1.5,bgs,2,Chr1,0.025,8507,1333,1332,13,314657
V1_c1.5,bgs,2,Chr2,0.025,8507,1054,1053,13,948646
V1_c1.5,bgs,2,Chr1,0.05,8507,150,149,31,1540329
V1_c1.5,bgs,2,Chr2,0.05,8507,121,120,23,4331665
V1_c1.5,bgs,2,Chr1,0.1,8507,9,8,2,11079836
V1_c1.5,bgs,2,Chr2,0.1,8507,4,3,1,133204
V1_c1.5,bgs,3,Chr1,0.0125,7851,3222,3221,4,294890
V1_c1.5,bgs,3,Chr2,0.0125,7851,3331,3330,8,278599
V1_c1.5,bgs,3,Chr1,0.025,7851,1152,1151,6,328289
V1_c1.5,bgs,3,Chr2,0.025,7851,1175,1174,6,388144
V1_c1.5,bgs,3,Chr1,0.05,7851,150,149,21,1389569
V1_c1.5,bgs,3,Chr2,0.05,7851,150,149,27,1675414
V1_c1.5,bgs,3,Chr1,0.1,7851,22,21,4,4036366
V1_c1.5,bgs,3,Chr2,0.1,7851,17,16,4,1437689
V1_c1.5,bgs,4,Chr1,0.0125,11388,4412,4411,17,1226144
V1_c1.5,bgs,4,Chr2,0.0125,11388,4511,4510,12,377483
V1_c1.5,bgs,4,Chr1,0.025,11388,1253,1252,36,1226144
V1_c1.5,bgs,4,Chr2,0.025,11388,1231,1230,26,535466
V1_c1.5,bgs,4,Chr1,0.05,11388,95,94,31,3948415
V1_c1.5,bgs,4,Chr2,0.05,11388,91,90,24,6038737
V1_c1.5,bgs,4,Chr1,0.1,11388,26,25,5,15938754
V1_c1.5,bgs,4,Chr2,0.1,11388,17,16,5,16461760
V1_c1.5,bgs,5,Chr1,0.0125,5733,2356,2355,6,1038222
V1_c1.5,bgs,5,Chr2,0.0125,5733,2509,2508,5,148884
V1_c1.5,bgs,5,Chr1,0.025,5733,1013,1012,6,1351618
V1_c1.5,bgs,5,Chr2,0.025,5733,1052,1051,6,181589
V1_c1.5,bgs,5,Chr1,0.05,5733,131,130,30,1879232
V1_c1.5,bgs,5,Chr2,0.05,5733,188,187,19,634137
V1_c1.5,bgs,5,Chr1,0.1,5733,5,4,3,4409201
V1_c1.5,bgs,5,Chr2,0.1,5733,20,19,4,4042053
V1_c1.5,bgs,6,Chr1,0.0125,7433,3164,3163,8,386318
V1_c1.5,bgs,6,Chr2,0.0125,7433,3340,3339,9,304346
V1_c1.5,bgs,6,Chr1,0.025,7433,1446,1445,11,508909
V1_c1.5,bgs,6,Chr2,0.025,7433,1338,1337,10,304346
V1_c1.5,bgs,6,Chr1,0.05,7433,297,296,27,1104500
V1_c1.5,bgs,6,Chr2,0.05,7433,190,189,23,2069769
V1_c1.5,bgs,6,Chr1,0.1,7433,32,31,8,9476263
V1_c1.5,bgs,6,Chr2,0.1,7433,22,21,5,3572887
V1_c1.5,bgs,7,Chr1,0.0125,6971,2836,2835,5,352060
V1_c1.5,bgs,7,Chr2,0.0125,6971,2960,2959,6,173433
V1_c1.5,bgs,7,Chr1,0.025,6971,1117,1116,4,496511
V1_c1.5,bgs,7,Chr2,0.025,6971,1217,1216,5,222789
V1_c1.5,bgs,7,Chr1,0.05,6971,210,209,22,1866871
V1_c1.5,bgs,7,Chr2,0.05,6971,197,196,27,1106054
V1_c1.5,bgs,7,Chr1,0.1,6971,19,18,4,2408419
V1_c1.5,bgs,7,Chr2,0.1,6971,31,30,5,4624282
V1_c1.5,bgs,8,Chr1,0.0125,8578,3605,3604,5,292659
V1_c1.5,bgs,8,Chr2,0.0125,8578,3589,3588,5,297521
V1_c1.5,bgs,8,Chr1,0.025,8578,1462,1461,6,228096
V1_c1.5,bgs,8,Chr2,0.025,8578,1271,1270,4,432513
V1_c1.5,bgs,8,Chr1,0.05,8578,242,241,25,1341723
V1_c1.5,bgs,8,Chr2,0.05,8578,172,171,25,1595496
V1_c1.5,bgs,8,Chr1,0.1,8578,41,40,14,6493536
V1_c1.5,bgs,8,Chr2,0.1,8578,29,28,6,4484178
V1_c1.5,bgs,9,Chr1,0.0125,7407,2824,2823,8,581487
V1_c1.5,bgs,9,Chr2,0.0125,7407,3056,3055,7,414155
V1_c1.5,bgs,9,Chr1,0.025,7407,996,995,10,581487
V1_c1.5,bgs,9,Chr2,0.025,7407,1173,1172,10,395685
V1_c1.5,bgs,9,Chr1,0.05,7407,133,132,21,2462485
V1_c1.5,bgs,9,Chr2,0.05,7407,100,99,27,2461295
V1_c1.5,bgs,9,Chr1,0.1,7407,15,14,6,2149764
V1_c1.5,bgs,9,Chr2,0.1,7407,3,2,0,-3744711
V1_c1.5,bgs,10,Chr1,0.0125,5966,2357,2356,4,807981
V1_c1.5,bgs,10,Chr2,0.0125,5966,2535,2534,5,626961
V1_c1.5,bgs,10,Chr1,0.025,5966,1005,1004,5,807981
V1_c1.5,bgs,10,Chr2,0.025,5966,935,934,12,448481
V1_c1.5,bgs,10,Chr1,0.05,5966,174,173,19,1561252
V1_c1.5,bgs,10,Chr2,0.05,5966,144,143,25,2720920
V1_c1.5,bgs,10,Chr1,0.1,5966,50,49,1,116431
V1_c1.5,bgs,10,Chr2,0.1,5966,26,25,2,245571
V2_c1,nobgs,1,Chr1,0.0125,13715,479,478,34,1797682
V2_c1,nobgs,1,Chr2,0.0125,13715,414,413,14,10532394
V2_c1,nobgs,1,Chr1,0.025,13715,58,57,10,17130418
V2_c1,nobgs,1,Chr2,0.025,13715,51,50,8,16445683
V2_c1,nobgs,1,Chr1,0.05,13715,14,13,5,18539695
V2_c1,nobgs,1,Chr2,0.05,13715,11,10,3,19079696
V2_c1,nobgs,1,Chr2,0.1,13715,2,1,0,-548572
V2_c1,nobgs,2,Chr1,0.0125,10245,211,210,24,3974687
V2_c1,nobgs,2,Chr2,0.0125,10245,260,259,22,2868269
V2_c1,nobgs,2,Chr1,0.025,10245,28,27,5,5574838
V2_c1,nobgs,2,Chr2,0.025,10245,27,26,3,6691750
V2_c1,nobgs,2,Chr1,0.05,10245,11,10,3,5945909
V2_c1,nobgs,2,Chr2,0.05,10245,4,3,0,-1499647
V2_c1,nobgs,2,Chr1,0.1,10245,2,1,1,6828126
V2_c1,nobgs,2,Chr2,0.1,10245,2,1,0,-1499647
V2_c1,nobgs,3,Chr1,0.0125,10326,337,336,15,4643058
V2_c1,nobgs,3,Chr2,0.0125,10326,333,332,26,2326097
V2_c1,nobgs,3,Chr1,0.025,10326,51,50,6,1593364
V2_c1,nobgs,3,Chr2,0.025,10326,54,53,4,3069097
V2_c1,nobgs,3,Chr1,0.05,10326,6,5,2,2649337
V2_c1,nobgs,3,Chr2,0.05,10326,6,5,1,2794929
V2_c1,nobgs,3,Chr1,0.1,10326,3,2,0,-1053671
V2_c1,nobgs,4,Chr1,0.0125,13111,373,372,41,1574621
V2_c1,nobgs,4,Chr2,0.0125,13111,396,395,34,2508463
V2_c1,nobgs,4,Chr1,0.025,13111,79,78,8,16239806
V2_c1,nobgs,4,Chr2,0.025,13111,99,98,8,15980528
V2_c1,nobgs,4,Chr1,0.05,13111,42,41,7,16341689
V2_c1,nobgs,4,Chr2,0.05,13111,29,28,7,16518841
V2_c1,nobgs,4,Chr1,0.1,13111,19,18,6,446994
V2_c1,nobgs,4,Chr2,0.1,13111,7,6,3,17005315
V2_c1,nobgs,5,Chr1,0.0125,8111,223,222,10,4606558
V2_c1,nobgs,5,Chr2,0.0125,8111,411,410,15,2169460
V2_c1,nobgs,5,Chr1,0.025,8111,64,63,5,4219831
V2_c1,nobgs,5,Chr2,0.025,8111,77,76,8,4948622
V2_c1,nobgs,5,Chr1,0.05,8111,27,26,4,4508053
V2_c1,nobgs,5,Chr2,0.05,8111,13,12,2,437560
V2_c1,nobgs,5,Chr1,0.1,8111,12,11,2,795757
V2_c1,nobgs,5,Chr2,0.1,8111,3,2,0,-235125
V2_c1,nobgs,6,Chr1,0.0125,9950,379,378,23,2970559
V2_c1,nobgs,6,Chr2,0.0125,9950,377,376,25,2361305
V2_c1,nobgs,6,Chr1,0.025,9950,52,51,6,7608800
V2_c1,nobgs,6,Chr2,0.025,9950,44,43,7,8015788
V2_c1,nobgs,6,Chr1,0.05,9950,10,9,2,5024367
V2_c1,nobgs,6,Chr2,0.05,9950,8,7,2,5245106
V2_c1,nobgs,6,Chr1,0.1,9950,2,1,0,-1848524
V2_c1,nobgs,7,Chr1,0.0125,9178,441,440,21,2564425
V2_c1,nobgs,7,Chr2,0.0125,9178,543,542,21,2785206
V2_c1,nobgs,7,Chr1,0.025,9178,71,70,8,5774451
V2_c1,nobgs,7,Chr2,0.025,9178,89,88,9,6206140
V2_c1,nobgs,7,Chr1,0.05,9178,27,26,3,5188874
V2_c1,nobgs,7,Chr2,0.05,9178,18,17,4,5049779
V2_c1,nobgs,7,Chr1,0.1,9178,16,15,2,5477649
V2_c1,nobgs,7,Chr2,0.1,9178,2,1,0,-293957
V2_c1,nobgs,8,Chr1,0.0125,11305,389,388,19,3553912
V2_c1,nobgs,8,Chr2,0.0125,11305,385,384,16,3350810
V2_c1,nobgs,8,Chr1,0.025,11305,55,54,7,7083271
V2_c1,nobgs,8,Chr2,0.025,11305,53,52,12,6856746
V2_c1,nobgs,8,Chr1,0.05,11305,14,13,5,6675791
V2_c1,nobgs,8,Chr2,0.05,11305,4,3,1,302579
V2_c1,nobgs,8,Chr1,0.1,11305,2,1,0,-361672
V2_c1,nobgs,9,Chr1,0.0125,9952,346,345,21,2416178
V2_c1,nobgs,9,Chr2,0.0125,9952,293,292,19,2893817
V2_c1,nobgs,9,Chr1,0.025,9952,61,60,7,2921597
V2_c1,nobgs,9,Chr2,0.025,9952,52,51,1,550457
V2_c1,nobgs,9,Chr1,0.05,9952,8,7,2,1057854
V2_c1,nobgs,9,Chr2,0.05,9952,13,12,1,598761
V2_c1,nobgs,10,Chr1,0.0125,8826,539,538,16,2794083
V2_c1,nobgs,10,Chr2,0.0125,8826,612,611,9,2871918
V2_c1,nobgs,10,Chr1,0.025,8826,128,127,6,253119
V2_c1,nobgs,10,Chr2,0.025,8826,79,78,9,3933759
V2_c1,nobgs,10,Chr1,0.05,8826,19,18,6,1105346
V2_c1,nobgs,10,Chr2,0.05,8826,4,3,1,148063
V2_c1,bgs,1,Chr1,0.0125,12465,497,496,31,4985700
V2_c1,bgs,1,Chr2,0.0125,12465,523,522,26,6815968
V2_c1,bgs,1,Chr1,0.025,12465,80,79,6,16428874
V2_c1,bgs,1,Chr2,0.025,12465,99,98,10,16200828
V2_c1,bgs,1,Chr1,0.05,12465,17,16,4,18420873
V2_c1,bgs,1,Chr2,0.05,12465,19,18,4,3345237
V2_c1,bgs,1,Chr1,0.1,12465,7,6,1,6029210
V2_c1,bgs,1,Chr2,0.1,12465,8,7,1,4050689
V2_c1,bgs,2,Chr1,0.0125,8933,317,316,25,3135821
V2_c1,bgs,2,Chr2,0.0125,8933,283,282,20,4532434
V2_c1,bgs,2,Chr1,0.025,8933,45,44,6,5419224
V2_c1,bgs,2,Chr2,0.025,8933,34,33,6,4957400
V2_c1,bgs,2,Chr1,0.05,8933,7,6,2,6575220
V2_c1,bgs,2,Chr2,0.05,8933,6,5,1,7348202
V2_c1,bgs,3,Chr1,0.0125,8448,284,283,23,3064281
V2_c1,bgs,3,Chr2,0.0125,8448,295,294,19,3271739
V2_c1,bgs,3,Chr1,0.025,8448,17,16,3,2171909
V2_c1,bgs,3,Chr2,0.025,8448,49,48,4,12452702
V2_c1,bgs,3,Chr1,0.05,8448,2,1,0,-1273950
V2_c1,bgs,3,Chr2,0.05,8448,5,4,1,229265
V2_c1,bgs,4,Chr1,0.0125,12396,407,406,39,3602574
V2_c1,bgs,4,Chr2,0.0125,12396,383,382,39,4005545
V2_c1,bgs,4,Chr1,0.025,12396,85,84,8,16587869
V2_c1,bgs,4,Chr2,0.025,12396,77,76,10,8427836
V2_c1,bgs,4,Chr1,0.05,12396,34,33,2,16640127
V2_c1,bgs,4,Chr2,0.05,12396,16,15,5,17084810
V2_c1,bgs,4,Chr1,0.1,12396,21,20,3,16845937
V2_c1,bgs,4,Chr2,0.1,12396,3,2,1,16905155
V2_c1,bgs,5,Chr1,0.0125,5968,330,329,16,2100070
V2_c1,bgs,5,Chr2,0.0125,5968,236,235,13,1383620
V2_c1,bgs,5,Chr1,0.025,5968,65,64,4,4075390
V2_c1,bgs,5,Chr2,0.025,5968,34,33,4,5665426
V2_c1,bgs,5,Chr1,0.05,5968,12,11,2,4997449
V2_c1,bgs,5,Chr2,0.05,5968,11,10,1,555650
V2_c1,bgs,5,Chr2,0.1,5968,2,1,0,-2090388
V2_c1,bgs,6,Chr1,0.0125,8280,394,393,22,1880614
V2_c1,bgs,6,Chr2,0.0125,8280,428,427,14,1978771
V2_c1,bgs,6,Chr1,0.025,8280,98,97,7,9639650
V2_c1,bgs,6,Chr2,0.025,8280,63,62,3,4148466
V2_c1,bgs,6,Chr1,0.05,8280,28,27,3,9815064
V2_c1,bgs,6,Chr2,0.05,8280,13,12,3,4047769
V2_c1,bgs,6,Chr1,0.1,8280,7,6,2,17023850
V2_c1,bgs,6,Chr2,0.1,8280,2,1,1,5906458
V2_c1,bgs,7,Chr1,0.0125,7214,448,447,18,2947043
V2_c1,bgs,7,Chr2,0.0125,7214,332,331,15,2357776
V2_c1,bgs,7,Chr1,0.025,7214,88,87,5,5651653
V2_c1,bgs,7,Chr2,0.025,7214,70,69,6,5839861
V2_c1,bgs,7,Chr1,0.05,7214,35,34,5,5851231
V2_c1,bgs,7,Chr2,0.05,7214,13,12,3,6315261
V2_c1,bgs,7,Chr1,0.1,7214,16,15,1,5635458
V2_c1,bgs,7,Chr2,0.1,7214,7,6,1,5081755
V2_c1,bgs,8,Chr1,0.0125,9558,392,391,23,1684768
V2_c1,bgs,8,Chr2,0.0125,9558,389,388,22,3284078
V2_c1,bgs,8,Chr1,0.025,9558,117,116,4,5232241
V2_c1,bgs,8,Chr2,0.025,9558,118,117,4,6427942
V2_c1,bgs,8,Chr1,0.05,9558,58,57,0,93040
V2_c1,bgs,8,Chr2,0.05,9558,41,40,5,350482
V2_c1,bgs,8,Chr1,0.1,9558,12,11,1,103674
V2_c1,bgs,8,Chr2,0.1,9558,3,2,1,471263
V2_c1,bgs,9,Chr1,0.0125,8058,290,289,23,2488302
V2_c1,bgs,9,Chr2,0.0125,8058,254,253,13,3249299
V2_c1,bgs,9,Chr1,0.025,8058,57,56,7,715148
V2_c1,bgs,9,Chr2,0.025,8058,47,46,4,982408
V2_c1,bgs,9,Chr1,0.05,8058,35,34,1,149879
V2_c1,bgs,9,Chr2,0.05,8058,22,21,0,30764
V2_c1,bgs,9,Chr1,0.1,8058,21,20,0,1701
V2_c1,bgs,9,Chr2,0.1,8058,10,9,2,215538
V2_c1,bgs,10,Chr1,0.0125,6831,342,341,17,3066620
V2_c1,bgs,10,Chr2,0.0125,6831,353,352,11,2291072
V2_c1,bgs,10,Chr1,0.025,6831,59,58,2,159322
V2_c1,bgs,10,Chr2,0.025,6831,70,69,4,3641482
V2_c1,bgs,10,Chr1,0.05,6831,7,6,1,343153
V2_c1,bgs,10,Chr2,0.05,6831,9,8,2,527867
