marker	old_chr	old_start	old_end	new_chr	new_start	new_end	bin_length	cM_FTC	cM_BEPA	rate_FTC	rate_BEPA	rate_ROESTI	rel_FTC	rel_BEPA	rel_ROESTI	n_crosses	rel_consensus	rel_sd	rank_sd	disagree	concordant	rate_consensus_cMperMb
50_4	3	16417833	16798506	3	16716706	17097379	380674	72.929	76.833	23.0674	19.7371		5.8905	4.0198		2	4.9552	1.3228	0.0151	0.1648	TRUE	15.4107
65_1	4	1	356292	4	1	356292	356292	0	0	3.7694	8.5604	0	0.9626	1.7435	0	3	0.902	0.8733	0.4177	0.9261	FALSE	2.8052
65_2	4	356293	712584	4	356293	712584	356292	1.343	3.05	3.9588	5.0829	1.1413	1.0109	1.0352	0.3542	3	0.8001	0.3864	0.2077	0.8011	FALSE	2.4883
65_3	4	712585	1068876	4	712585	1068876	356292	2.821	3.622	5.0044	5.2432	4.4535	1.2779	1.0679	1.3821	3	1.2426	0.16	0.0319	0.0862	TRUE	3.8645
222_1	4	1069877	1121605	4	1069877	1121605	51729	4.152	5.993	9.0483	9.4791	5.3678	2.3106	1.9306	1.6658	3	1.969	0.3241	0.0335	0.2241	TRUE	6.1236
20_1	4	1174335	1665662	4	1174335	1665662	491328	7.61	8.639	10.6831	8.6613	6.8232	2.728	1.764	2.1174	3	2.2031	0.4877	0.0408	0.3793	TRUE	6.8516
20_2	4	1665663	2156990	4	1665663	2156990	491328	12.865	13.057	11.1687	10.0371	5.9637	2.852	2.0442	1.8507	3	2.249	0.5311	0.0398	0.3161	TRUE	6.9944
20_3	4	2156991	2648318	4	2156991	2648318	491328	18.585	18.502	11.7498	11.6613	10.2143	3.0004	2.375	3.1698	3	2.8484	0.4186	0.0345	0.517	TRUE	8.8585
20_4	4	2648319	3139646	4	2648319	3139646	491328	24.411	24.516	13.2233	11.8627	10.1016	3.3767	2.416	3.1348	3	2.9758	0.4997	0.0387	0.6307	TRUE	9.2547
20_5	4	3139647	3630974	4	3139647	3630974	491328	31.579	30.159	12.7318	13.6976	10.3361	3.2512	2.7898	3.2076	3	3.0829	0.2547	0.0176	0.2045	TRUE	9.5878
20_6	4	3630975	4122302	4	3630975	4122302	491328	36.922	37.976	9.0347	10.265	9.9425	2.3071	2.0906	3.0855	3	2.4944	0.5232	0.046	0.4195	TRUE	7.7576
20_7	4	4122303	4613630	4	4122303	4613630	491328	40.457	40.246	6.229	4.3657	8.973	1.5906	0.8892	2.7846	3	1.7548	0.9583	0.1286	0.9368	FALSE	5.4574
20_8	4	4613631	5104958	4	4613631	5104958	491328	43.043	42.266	3.0733	3.8996	4.4634	0.7848	0.7942	1.3851	3	0.988	0.3439	0.0775	0.3466	TRUE	3.0727
20_9	4	5104959	5596286	4	5104959	5596286	491328	43.477	44.078	3.1791	2.7361	2.2888	0.8118	0.5573	0.7103	3	0.6931	0.1281	0.0526	0.1667	TRUE	2.1555
20_10	4	5596287	6087614	4	5596287	6087614	491328	46.167		5.648		3.405	1.4423		1.0567	2	1.2495	0.2727	0.0543	0.3391	TRUE	3.8859
20_11	4	6087615	6578942	4	6087615	6578942	491328	49.027	46.299	3.7063	2.076	2.5296	0.9464	0.4228	0.785	3	0.7181	0.2681	0.1207	0.6149	TRUE	2.2333
20_12	4	6578943	7070270	4	6578943	7070270	491328	49.809	47.138	1.2995	1.8185	0.2277	0.3318	0.3704	0.0707	3	0.2576	0.163	0.175	0.6379	TRUE	0.8011
20_13	4	7070271	7561598	4	7070271	7561598	491328	50.304	48.086	1.0645	1.1001	0.5665	0.2718	0.2241	0.1758	3	0.2239	0.048	0.0835	0.3851	TRUE	0.6963
20_14	4	7561599	8052926	4	7561599	8052926	491328	50.855	48.219	0.7856	0.5048	0.782	0.2006	0.1028	0.2427	3	0.182	0.0718	0.0757	0.3161	TRUE	0.566
20_15	4	8052927	8544255	4	8052927	8544255	491329	51.076	48.582	0.6055	1.1377	0.523	0.1546	0.2317	0.1623	3	0.1829	0.0425	0.0622	0.1897	TRUE	0.5688
20_16	4	8544256	9035584	4	8544256	9035584	491329	51.45	49.337	0.5764	0.9227	0.0574	0.1472	0.1879	0.0178	3	0.1176	0.0888	0.0879	0.767	FALSE	0.3657
17_1	4	9036585	9524499	4	9036585	9524499	487915	51.642	49.488	0.8216	1.0352	0.3181	0.2098	0.2108	0.0987	3	0.1731	0.0644	0.0918	0.4425	TRUE	0.5383
17_2	4	9524500	10012414	4	9524500	10012414	487915	52.254	50.35	1.1416	1.0863	0.4534	0.2915	0.2212	0.1407	3	0.2178	0.0755	0.1037	0.477	TRUE	0.6774
17_3	4	10012415	10500329	4	10012415	10500329	487915	52.756	50.548	0.6466	0.7153	0.5106	0.1651	0.1457	0.1584	3	0.1564	0.0099	0.0475	0.0862	TRUE	0.4864
17_4	4	10500330	10988244	4	10500330	10988244	487915	52.885	51.048	0.8044	1.2574	0.6074	0.2054	0.2561	0.1885	3	0.2167	0.0352	0.0663	0.2356	TRUE	0.6739
17_5	4	10988245	11476159	4	10988245	11476159	487915	53.541	51.775	1.8333	1.4173	0.6916	0.4682	0.2887	0.2146	3	0.3238	0.1304	0.1351	0.4943	TRUE	1.007
17_6	4	11476160	11964074	4	11476160	11964074	487915	54.674	52.431	1.6898	0.8003	0.7372	0.4315	0.163	0.2288	3	0.2744	0.1399	0.143	0.5115	TRUE	0.8534
17_7	4	11964075	12451989	4	11964075	12451989	487915	55.19	52.556	0.8557	0.6692	0.6642	0.2185	0.1363	0.2061	3	0.187	0.0443	0.0684	0.2586	TRUE	0.5816
17_8	4	12451990	12939904	4	12451990	12939904	487915	55.509	53.084	0.5165	1.6181	1.06	0.1319	0.3296	0.329	3	0.2635	0.114	0.0944	0.3161	TRUE	0.8195
17_9	4	12939905	13427819	4	12939905	13427819	487915	55.694	54.135	0.1783	1.7974	1.1303	0.0455	0.3661	0.3508	3	0.2541	0.1808	0.1697	0.6092	TRUE	0.7903
17_10	4	13427820	13915734	4	13427820	13915734	487915	55.683	54.838	0.6108	2.0526	0.5623	0.156	0.418	0.1745	3	0.2495	0.1462	0.1452	0.523	TRUE	0.7759
17_11	4	13915735	14403649	4	13915735	14403649	487915	56.29	56.138	0.9961	2.1838	0.7719	0.2544	0.4448	0.2395	3	0.3129	0.1145	0.1183	0.4195	TRUE	0.9731
17_12	4	14403650	14891564	4	14403650	14891564	487915	56.655	56.969	0.8434	2.4687	0.6069	0.2154	0.5028	0.1884	3	0.3022	0.1742	0.1585	0.546	TRUE	0.9398
17_13	4	14891565	15379479	4	14891565	15379479	487915	57.113	58.547	1.1129	2.4994	0.7909	0.2842	0.509	0.2454	3	0.3462	0.1423	0.1362	0.517	TRUE	1.0767
17_14	4	15379480	15867394	4	15379480	15867394	487915	57.741	59.408	1.0135	1.9788	0.6896	0.2588	0.403	0.214	3	0.2919	0.0988	0.1208	0.4483	TRUE	0.9078
17_15	4	15867395	16355309	4	15867395	16355309	487915	58.102	60.478	0.6456	2.8058	0.3558	0.1649	0.5714	0.1104	3	0.2822	0.2519	0.2192	0.8103	FALSE	0.8776
17_16	4	16355310	16843224	4	16355310	16843224	487915	58.371	62.146	0.3822	2.3693	0.2236	0.0976	0.4825	0.0694	3	0.2165	0.2308	0.2065	0.8793	FALSE	0.6733
17_17	4	16843225	17331140	4	16843225	17331140	487916	58.475	62.79	0.206	1.0248	0	0.0526	0.2087	0	3	0.0871	0.1085	0.111	0.858	FALSE	0.2709
17_18	4	17331141	17819056	4	17331141	17819056	487916	58.572	63.146	0.3836	1.0184	0.3772	0.098	0.2074	0.1171	3	0.1408	0.0584	0.0618	0.5511	TRUE	0.4379
28_1	4	17820057	18311133	4	28214869	28705945	491077	60.678		0.6187		0.6218	0.158		0.193	2	0.1755	0.0247	0.0328	0.0632	TRUE	0.5458
28_2	4	18311134	18802210	4	27723792	28214868	491077	60.379	71.056	0.7137	2.2187	2.0841	0.1822	0.4519	0.6468	3	0.427	0.2333	0.1475	0.523	TRUE	1.328
28_3	4	18802211	19293287	4	27232715	27723791	491077	59.977	69.588	0.8237	2.1137	1.6394	0.2103	0.4305	0.5088	3	0.3832	0.1548	0.0964	0.2784	TRUE	1.1918
28_4	4	19293288	19784364	4	26741638	27232714	491077	59.57	68.98	0.4796	1.0609	1.2232	0.1225	0.2161	0.3796	3	0.2394	0.1301	0.0924	0.454	TRUE	0.7445
28_5	4	19784365	20275441	4	26250561	26741637	491077	59.506	68.546	0.2657	0.4419	1.1617	0.0678	0.09	0.3605	3	0.1728	0.163	0.1423	0.6724	TRUE	0.5374
28_6	4	20275442	20766518	4	25759484	26250560	491077	59.309	68.546	0.2077	0.3034	0.4299	0.053	0.0618	0.1334	3	0.0827	0.0441	0.0405	0.3068	TRUE	0.2572
28_7	4	20766519	21257595	4	25268407	25759483	491077	59.302	68.248	0.058	0.7993	0.3689	0.0148	0.1628	0.1145	3	0.0974	0.0755	0.0736	0.642	TRUE	0.3029
28_8	4	21257596	21748672	4	24777330	25268406	491077	59.252	67.761	0.0916	0.9907	0.595	0.0234	0.2018	0.1846	3	0.1366	0.0984	0.0932	0.7898	FALSE	0.4248
28_9	4	21748673	22239750	4	24286252	24777329	491078	59.212	69.221	0.1446	0.4897	0	0.0369	0.0997	0	3	0.0455	0.0504	0.0405	0.3068	TRUE	0.1415
28_10	4	22239751	22730828	4	23795174	24286251	491078	59.394	67.28	0.5082	2.1675	0	0.1298	0.4414	0	3	0.1904	0.2269	0.2108	0.8908	FALSE	0.5921
24_1	4	22731829	23200482	4	22975262	23443915	468654	59.072	67.315	0.5042	0.0745	0	0.1288	0.0152	0	3	0.048	0.0704	0.0961	0.8011	FALSE	0.1493
24_2	4	23200483	23669137	4	22506607	22975261	468655	59.103	67.505	0.0661	0.0363	0	0.0169	0.0074	0	3	0.0081	0.0085	0.0161	0.0739	TRUE	0.0252
24_3	4	23669138	24137792	4	22037952	22506606	468655	59.134	67.281	0.0331	0.6017	0.0348	0.0085	0.1225	0.0108	3	0.0473	0.0652	0.0571	0.4943	TRUE	0.1471
24_4	4	24137793	24606447	4	21569297	22037951	468655	59.134	66.941	0	0.6455	0.1245	0	0.1315	0.0386	3	0.0567	0.0676	0.0697	0.5852	TRUE	0.1763
24_5	4	24606448	25075102	4	21100642	21569296	468655	59.134	66.676	0.0032	0.2123	0.1245	8e-04	0.0432	0.0386	3	0.0275	0.0233	0.0303	0.1761	TRUE	0.0855
24_6	4	25075103	25543757	4	20631987	21100641	468655	59.131	66.742	0.0011	0.2187	0.1415	3e-04	0.0445	0.0439	3	0.0296	0.0253	0.0339	0.233	TRUE	0.0921
24_7	4	25543758	26012412	4	20163332	20631986	468655	59.133	66.471	0.064	0.5185	0.1973	0.0163	0.1056	0.0612	3	0.061	0.0447	0.0409	0.3239	TRUE	0.1897
24_8	4	26012413	26481067	4	19694677	20163331	468655	59.191	66.256	0.1654	0.5505	0.1357	0.0422	0.1121	0.0421	3	0.0655	0.0404	0.0294	0.1648	TRUE	0.2037
24_9	4	26481068	26949722	4	19226022	19694676	468655	58.978	65.955	0.2283	0.4716	0	0.0583	0.096	0	3	0.0514	0.0484	0.0411	0.3352	TRUE	0.1599
24_10	4	26949723	27418377	4	18757367	19226021	468655	58.977	65.814	0.0128	0.4001	0	0.0033	0.0815	0	3	0.0283	0.0461	0.0338	0.2216	TRUE	0.088
24_11	4	27418378	27887032	4	18288712	18757366	468655	58.99	65.58	0.1398	2.1754	0	0.0357	0.4431	0	3	0.1596	0.2462	0.2326	0.9138	FALSE	0.4964
24_12	4	27887033	28355687	4	17820057	18288711	468655	58.846	63.775	0.441	2.5677	1.1895	0.1126	0.523	0.3691	3	0.3349	0.2073	0.1707	0.6534	TRUE	1.0415
42_1	4	28356688	28775706	4	28706946	29125964	419019	60.965	72.779	1.353	2.9645	2.1043	0.3455	0.6038	0.653	3	0.5341	0.1652	0.1004	0.2931	TRUE	1.6611
42_2	4	28775707	29194725	4	29125965	29544983	419019	61.862	75.106	3.4736	2.5249	2.695	0.887	0.5142	0.8363	3	0.7458	0.2022	0.0851	0.3218	TRUE	2.3194
42_3	4	29194726	29613744	4	29544984	29964002	419019	63.876	74.895	5.415	1.0179	3.1236	1.3828	0.2073	0.9693	3	0.8531	0.5963	0.2762	0.8239	FALSE	2.6531
42_4	4	29613745	30032763	4	29964003	30383021	419019	66.4	75.959	6.0856	5.847	4.9732	1.554	1.1908	1.5434	3	1.4294	0.2067	0.0402	0.1437	TRUE	4.4454
42_5	4	30032764	30451783	4	30383022	30802041	419020	68.976	79.795	4.9732	8.1491	5.0524	1.27	1.6597	1.5679	3	1.4992	0.2037	0.0327	0.0977	TRUE	4.6625
41_1	4	30452784	30888816	4	30803042	31239074	436033	70.615		3.6365		6.1424	0.9286		1.9062	2	1.4174	0.6913	0.1174	0.7874	FALSE	4.4081
41_2	4	30888817	31324849	4	31239075	31675107	436033	72.12	86.419	8.5544	10.0439	6.7941	2.1844	2.0456	2.1084	3	2.1128	0.0695	0.0124	0.0862	TRUE	6.5708
41_3	4	31324850	31760882	4	31675108	32111140	436033	78.075	92.858	12.655	16.907	10.9235	3.2316	3.4434	3.3899	3	3.355	0.1101	0.012	0.0966	TRUE	10.434
41_4	4	31760883	32196915	4	32111141	32547173	436033	83.156	101.163	12.7444	26.4277	11.7382	3.2544	5.3825	3.6427	3	4.0932	1.1333	0.0296	0.3807	TRUE	12.7299
41_5	4	32196916	32632948	4	32547174	32983206	436033	89.189		26.8026		6.8378	6.8443		2.122	2	4.4832	3.3392	0.099	0.9148	FALSE	13.9428
19_1	5	1	492355	5	10338877	10831231	492355	19.331	25.302	5.6588	5.0958	8.5357	1.445	1.0378	2.6489	3	1.7106	0.8377	0.1094	0.8908	FALSE	5.32
19_2	5	492356	984710	5	9846522	10338876	492355	17.351	24.083	3.272	2.8384	2.1393	0.8355	0.5781	0.6639	3	0.6925	0.1311	0.057	0.2011	TRUE	2.1537
19_3	5	984711	1477065	5	9354167	9846521	492355	16.109	22.507	2.3743	1.7609	4.54	0.6063	0.3586	1.4089	3	0.7913	0.549	0.1848	0.7443	TRUE	2.4609
19_4	5	1477066	1969420	5	8861812	9354166	492355	15.013	22.349	1.763	0.4671	2.9426	0.4502	0.0951	0.9132	3	0.4862	0.4102	0.2789	0.8793	FALSE	1.5121
19_5	5	1969421	2461775	5	8369457	8861811	492355	14.373	22.047	1.5588	1.6137	1.9376	0.3981	0.3287	0.6013	3	0.4427	0.1417	0.0668	0.1782	TRUE	1.3768
19_6	5	2461776	2954130	5	7877102	8369456	492355	13.478	20.76	1.2735	1.9061	1.8271	0.3252	0.3882	0.567	3	0.4268	0.1254	0.0524	0.0862	TRUE	1.3273
19_7	5	2954131	3446485	5	7384747	7877101	492355	13.119	20.17	2.3916	1.9244	1.3045	0.6107	0.3919	0.4048	3	0.4691	0.1228	0.0841	0.2356	TRUE	1.4589
19_8	5	3446486	3938841	5	6892391	7384746	492356	11.123	18.865	3.0953	2.745	1.8529	0.7904	0.5591	0.575	3	0.6415	0.1292	0.0737	0.2816	TRUE	1.9951
19_9	5	3938842	4431197	5	6400035	6892390	492356	10.071	17.467	1.7244	1.5995	1.9881	0.4403	0.3258	0.617	3	0.461	0.1467	0.0725	0.2241	TRUE	1.4337
19_10	5	4431198	4923553	5	5907679	6400034	492356	9.425	17.29	1.1282	0.7383	1.6795	0.2881	0.1504	0.5212	3	0.3199	0.1874	0.1424	0.5511	TRUE	0.9949
19_11	5	4923554	5415909	5	5415323	5907678	492356	8.96	16.74	1.7183	1.4827	1.217	0.4388	0.302	0.3777	3	0.3728	0.0685	0.0519	0.0739	TRUE	1.1594
19_12	5	5415910	5908265	5	4922967	5415322	492356	7.733	15.83	2.617	2.3296	0.4833	0.6683	0.4745	0.15	3	0.4309	0.2619	0.2248	0.8103	FALSE	1.3401
19_13	5	5908266	6400621	5	4430611	4922966	492356	6.383	14.446	1.5385	2.2991	0	0.3929	0.4683	0	3	0.2871	0.2514	0.236	0.8448	FALSE	0.8929
19_14	5	6400622	6892977	5	3938255	4430610	492356	6.218	13.566	0.4113	1.5355	0	0.105	0.3127	0	3	0.1392	0.1591	0.1657	0.9716	FALSE	0.4329
19_15	5	6892978	7385333	5	3445899	3938254	492356	5.978	12.934	0.0884	0.9005	0.3003	0.0226	0.1834	0.0932	3	0.0997	0.0806	0.0784	0.7045	TRUE	0.3101
19_16	5	7385334	7877689	5	2953543	3445898	492356	6.131		0.0658		6.8133	0.0168		2.1144	2	1.0656	1.4832	0.5808	0.9943	FALSE	3.314
38_1	5	7878690	8321596	5	10832232	11275138	442907	22.789	28.98	5.0881	6.8061	4.8986	1.2993	1.3862	1.5202	3	1.4019	0.1113	0.0207	0.0172	TRUE	4.3599
38_2	5	8321597	8764503	5	11275139	11718045	442907	23.969	31.506	6.8784	6.4257	7.6664	1.7565	1.3087	2.3791	3	1.8148	0.5376	0.0779	0.7414	TRUE	5.644
38_3	5	8764504	9207410	5	11718046	12160952	442907	28.882	34.672	7.2024	5.5734	6.8853	1.8392	1.1351	2.1367	3	1.7037	0.5144	0.0796	0.569	TRUE	5.2985
38_4	5	9207411	9650317	5	12160953	12603859	442907	30.349	36.443	4.125	6.4923	4.2827	1.0534	1.3223	1.3291	3	1.2349	0.1572	0.024	0.0402	TRUE	3.8405
38_5	5	9650318	10093224	5	12603860	13046766	442907	32.536	40.423	9.0177	15.3452	7.8046	2.3028	3.1253	2.422	3	2.6167	0.4445	0.0337	0.2414	TRUE	8.1379
38_6	5	10093225	10536132	5	13046767	13489674	442908	38.337	50.036	11.0479	17.8328	10.9469	2.8212	3.632	3.3972	3	3.2835	0.4172	0.0316	0.4375	TRUE	10.2117
93_1	5	10537133	10767244	5	13720788	13950899	230112	43.827	57.027	14.5241	20.601	13.9807	3.7089	4.1958	4.3387	3	4.0811	0.3302	0.0154	0.1761	TRUE	12.6922
93_2	5	10767245	10997357	5	13490675	13720787	230113	41.158	54.34	9.6719	12.3163	7.6578	2.4698	2.5084	2.3764	3	2.4515	0.0679	0.006	0.0172	TRUE	7.6242
73_1	5	10998358	11370047	5	14323590	14695279	371690	53.902	70.891	12.589	14.2527	5.9844	3.2147	2.9028	1.8571	3	2.6582	0.7111	0.0529	0.523	TRUE	8.267
73_2	5	11370048	11741737	5	13951900	14323589	371690	48.885	65.3	14.9571	20.5822	11.7331	3.8194	4.1919	3.6411	3	3.8841	0.281	0.0081	0.0511	TRUE	12.0796
142_1	5	11742738	11847896	5	15054935	15160093	105159	58.729	76.491	2.4864	4.0016	6.552	0.6349	0.815	2.0333	3	1.1611	0.7607	0.1502	0.8448	FALSE	3.611
142_2	5	11847897	11953055	5	15160094	15265252	105159	58.388	76.963	3.2093	0.2446	1.946	0.8195	0.0498	0.6039	3	0.4911	0.3971	0.3118	0.9483	FALSE	1.5273
125_1	5	11954056	12102726	5	15414924	15563594	148671	59.628	77.562	11.0782	6.8204	1.6792	2.8289	1.3891	0.5211	3	1.5797	1.1656	0.2342	0.9023	FALSE	4.9129
125_2	5	12102727	12251397	5	15266253	15414923	148671	57.981	76.548	4.4832	2.1657		1.1448	0.4411		2	0.793	0.4976	0.1931	0.7784	FALSE	2.4662
66_1	6	1	442377	6	1445290	1887666	442377	2.582	10.929	1.4921	3.6459	2.7364	0.381	0.7426	0.8492	3	0.6576	0.2454	0.1298	0.6724	TRUE	2.0451
66_2	6	442378	884755	6	1002912	1445289	442378	1.715	6.842	1.7101	8.5924	2.7364	0.4367	1.75	0.8492	3	1.012	0.6716	0.1838	0.733	TRUE	3.1473
35_1	6	885756	1338758	6	5203863	5656865	453003	8.54	21.772	3.9086	3.3783	1.9297	0.9981	0.688	0.5989	3	0.7617	0.2095	0.0938	0.4489	TRUE	2.3689
35_2	6	1338759	1791761	6	4750860	5203862	453003	7.061	20.128	2.6953	3.2318	2.8972	0.6883	0.6582	0.8991	3	0.7485	0.1313	0.0306	0.0402	TRUE	2.3278
35_3	6	1791762	2244764	6	4297857	4750859	453003	6.098	18.844	2.2881	2.7836	3.7601	0.5843	0.5669	1.1669	3	0.7727	0.3415	0.1075	0.5511	TRUE	2.4031
35_4	6	2244765	2697767	6	3844854	4297856	453003	4.988	17.606	2.7351	4.6015	1.7704	0.6984	0.9372	0.5494	3	0.7283	0.1956	0.1086	0.5345	TRUE	2.265
35_5	6	2697768	3150771	6	3391850	3844853	453004	3.62	14.675	2.2373	4.7207	1.7764	0.5713	0.9615	0.5513	3	0.6947	0.2313	0.1121	0.5805	TRUE	2.1605
35_6	6	3150772	3603775	6	2938846	3391849	453004	2.961	13.329	0.9327	2.6567	2.7599	0.2382	0.5411	0.8565	3	0.5453	0.3092	0.1655	0.6264	TRUE	1.6959
35_7	6	3603776	4056779	6	2485842	2938845	453004	2.775	12.268	0.5437	1.6012	2.824	0.1388	0.3261	0.8764	3	0.4471	0.3834	0.2136	0.7759	FALSE	1.3905
13_1	6	4057780	4552169	6	5657866	6152255	494390	10.687	23.262	4.1317	3.0761	2.9587	1.0551	0.6265	0.9182	3	0.8666	0.2189	0.0657	0.2557	TRUE	2.6951
13_2	6	4552170	5046559	6	6152256	6646645	494390	12.544	24.753	2.8702	2.6244	3.9648	0.7329	0.5345	1.2304	3	0.8326	0.3585	0.1062	0.5284	TRUE	2.5894
13_3	6	5046560	5540949	6	6646646	7141035	494390	13.525	25.857	1.6809	1.0356	1.9037	0.4292	0.2109	0.5908	3	0.4103	0.1907	0.1292	0.4489	TRUE	1.276
13_4	6	5540950	6035339	6	7141036	7635425	494390	14.206	25.777	1.6879	0.537	1.2373	0.431	0.1094	0.384	3	0.3081	0.1737	0.1646	0.569	TRUE	0.9582
13_5	6	6035340	6529729	6	7635426	8129815	494390	15.194	26.388	2.0672	1.2935	1.9903	0.5279	0.2634	0.6176	3	0.4696	0.1841	0.1157	0.3391	TRUE	1.4605
13_6	6	6529730	7024119	6	8129816	8624205	494390	16.25	27.056	1.4948	0.889	0.9878	0.3817	0.1811	0.3065	3	0.2898	0.1013	0.1001	0.3506	TRUE	0.9013
13_7	6	7024120	7518509	6	8624206	9118595	494390	16.672	27.267	0.6837	0.9699	0.8329	0.1746	0.1975	0.2585	3	0.2102	0.0434	0.0074	0.0057	TRUE	0.6537
13_8	6	7518510	8012899	6	9118596	9612985	494390	16.926	28.015	1.0498	1.2429	1.0555	0.2681	0.2531	0.3275	3	0.2829	0.0393	0.0115	0.0172	TRUE	0.8798
13_9	6	8012900	8507289	6	9612986	10107375	494390	17.71	28.496	0.9254	0.9436	1.3349	0.2363	0.1922	0.4143	3	0.2809	0.1176	0.0875	0.2931	TRUE	0.8736
13_10	6	8507290	9001679	6	10107376	10601765	494390	17.841	28.948	0.6665	1.0154	1.836	0.1702	0.2068	0.5698	3	0.3156	0.2209	0.1346	0.483	TRUE	0.9815
13_11	6	9001680	9496069	6	10601766	11096155	494390	18.369	29.5	1.0538	0.9031	2.8219	0.2691	0.1839	0.8757	3	0.4429	0.3772	0.2188	0.7989	FALSE	1.3774
13_12	6	9496070	9990459	6	11096156	11590545	494390	18.883	29.841	0.9274	0.8475	2.2856	0.2368	0.1726	0.7093	3	0.3729	0.2931	0.199	0.7784	FALSE	1.1597
13_13	6	9990460	10484849	6	11590546	12084935	494390	19.286	30.338	1.1256	1.0437	0.395	0.2874	0.2126	0.1226	3	0.2075	0.0825	0.1067	0.5	TRUE	0.6453
13_14	6	10484850	10979239	6	12084936	12579325	494390	19.996	30.873	1.601	1.5898	1.903	0.4088	0.3238	0.5906	3	0.4411	0.1363	0.063	0.1437	TRUE	1.3718
13_15	6	10979240	11473629	6	12579326	13073715	494390	20.869	31.91	1.873	2.0864	2.6562	0.4783	0.4249	0.8243	3	0.5758	0.2168	0.0887	0.3391	TRUE	1.7907
13_16	6	11473630	11968019	6	13073716	13568105	494390	21.848	32.936	1.87	1.5585	1.3934	0.4775	0.3174	0.4324	3	0.4091	0.0826	0.0495	0.0625	TRUE	1.2723
13_17	6	11968020	12462409	6	13568106	14062495	494390	22.718	33.451	2.0015	2.2199	2.7361	0.5111	0.4521	0.8491	3	0.6041	0.2142	0.084	0.3046	TRUE	1.8788
13_18	6	12462410	12956799	6	14062496	14556885	494390	23.827	35.131	2.1056	3.0613	2.0428	0.5377	0.6235	0.6339	3	0.5984	0.0528	0.0341	0.0632	TRUE	1.861
13_19	6	12956800	13451189	6	14556886	15051275	494390	24.8	36.478	4.0919	5.5594	3.1843	1.0449	1.1323	0.9882	3	1.0551	0.0726	0.0188	0.0284	TRUE	3.2814
13_20	6	13451190	13945579	6	15051276	15545665	494390	27.873	40.628	7.3586	6.597	6.1848	1.8791	1.3436	1.9193	3	1.714	0.3214	0.0515	0.5	TRUE	5.3305
13_21	6	13945580	14439970	6	15545666	16040056	494391	32.076	43.001	6.7214	7.3009	7.6877	1.7164	1.487	2.3857	3	1.863	0.4669	0.0668	0.6149	TRUE	5.7939
13_22	6	14439971	14934361	6	16040057	16534447	494391	34.519	47.847	8.8857	12.1584	7.8781	2.269	2.4763	2.4448	3	2.3967	0.1117	0.016	0.1092	TRUE	7.4537
13_23	6	14934362	15428752	6	16534448	17028838	494391	40.862	55.023	12.8593	16.4829	14.4882	3.2837	3.357	4.4961	3	3.7123	0.6798	0.0311	0.4205	TRUE	11.5453
13_24	6	15428753	15923143	6	17028839	17523229	494391	47.234	64.145	13.6046	19.5817	12.1594	3.4741	3.9882	3.7734	3	3.7452	0.2582	0.0158	0.1875	TRUE	11.6476
13_25	6	15923144	16417534	6	17523230	18017620	494391	54.314	74.385	16.0164	18.4043	8.5508	4.0899	3.7484	2.6536	3	3.4973	0.7504	0.0351	0.5511	TRUE	10.8766
140_1	6	16418535	16539092	6	18018621	18139178	120558	60.093		10.8931		5.7852	2.7817		1.7953	2	2.2885	0.6975	0.0502	0.477	TRUE	7.1172
140_2	6	16539093	16659650	6	18139179	18259736	120558		81.14		13.1864	1.4796		2.6856	0.4592	2	1.5724	1.5743	0.3438	0.9598	FALSE	4.8902
117_1	6	16660651	16872162	6	18260737	18472248	211512	60.807	82.245	0.6693	4.998	0.9714	0.1709	1.0179	0.3015	3	0.4968	0.456	0.2488	0.8448	FALSE	1.545
117_2	6	16872163	17083675	6	18472249	18683761	211513		83.032		3.348			0.6819		1	0.6819				FALSE	2.1207
86_1	7	1	269862	7	798849	1068710	269862	3.574	13.268	4.8465	7.6887	4.3922	1.2376	1.5659	1.363	3	1.3888	0.1657	0.0271	0.0517	TRUE	4.3192
86_2	7	269863	539725	7	528986	798848	269863	2.646	11.54	7.6226	7.9063	4.3922	1.9465	1.6103	1.363	3	1.6399	0.2929	0.0405	0.1552	TRUE	5.1001
118_1	7	540726	733991	7	1069711	1262976	193266	5.081	15.403	10.7766	11.5327	4.3922	2.7519	2.3488	1.363	3	2.1546	0.7145	0.0746	0.6839	TRUE	6.7008
118_2	7	733992	927258	7	1262977	1456243	193267	8.163	18.179	17.5243	18.5323	4.6442	4.475	3.7744	1.4412	3	3.2302	1.5884	0.1156	0.9375	FALSE	10.0459
55_1	7	928259	1351804	7	1457244	1880789	423546	13.89		14.6367		5.4965	3.7376		1.7057	2	2.7216	1.4368	0.1056	0.8678	FALSE	8.4642
55_2	7	1351805	1775351	7	1880790	2304336	423547	18.891	32.568	10.6104	14.8785	4.895	2.7095	3.0303	1.5191	3	2.4196	0.7962	0.0751	0.7184	TRUE	7.525
55_3	7	1775352	2198898	7	2304337	2727883	423547	22.878	35.386	7.5472	5.1565	4.6908	1.9272	1.0502	1.4557	3	1.4777	0.4389	0.0687	0.4885	TRUE	4.5956
39_1	7	2199899	2681550	7	2728884	3210535	481652	25.511	37.091	5.1173	8.1657	4.5294	1.3068	1.6631	1.4056	3	1.4585	0.1839	0.0237	0.0287	TRUE	4.5359
