region_uid	tag	cell	rep	env	method	size_floor	region_id	Chr	from	to	n_markers	n_units	TP	member_markers	member_units	linked_qtn
bgs_V0.5_c1.5_rep4_env6_lfmm_simes_region_r4	bgs	V0.5_c1.5	4	6	lfmm_simes_region	2	4	Chr1	18600966	18648964	5	1	FALSE	Chr1:18600966;Chr1:18608166;Chr1:18646477;Chr1:18648513;Chr1:18648964	Chr1:18646477	""
bgs_V0.5_c1.5_rep4_env6_lfmm_simes_region_r5	bgs	V0.5_c1.5	4	6	lfmm_simes_region	2	5	Chr1	19107289	20214071	50	1	TRUE	Chr1:19107289;Chr1:19114960;Chr1:19118560;Chr1:19121803;Chr1:19129426;Chr1:19133726;Chr1:19142288;Chr1:19179645;Chr1:19201515;Chr1:19201998;Chr1:19208404;Chr1:19229840;Chr1:19235348;Chr1:19249707;Chr1:19270184;Chr1:19285047;Chr1:19313042;Chr1:19348669;Chr1:19356795;Chr1:19366780;Chr1:19379228;Chr1:19380828;Chr1:19386643;Chr1:19396037;Chr1:19399625;Chr1:19400750;Chr1:19402567;Chr1:19404585;Chr1:19450452;Chr1:19463457;Chr1:19481131;Chr1:19494972;Chr1:19496581;Chr1:19497015;Chr1:19498036;Chr1:19500612;Chr1:19518756;Chr1:19521845;Chr1:19531636;Chr1:19531754;Chr1:19532924;Chr1:19533233;Chr1:19610694;Chr1:19626027;Chr1:19666733;Chr1:19697007;Chr1:19799014;Chr1:19901855;Chr1:19903967;Chr1:20214071	Chr1:19313042	Chr1:19379228
bgs_V0.5_c1.5_rep4_env6_lfmm_simes_region_r6	bgs	V0.5_c1.5	4	6	lfmm_simes_region	2	6	Chr2	13086603	13458696	8	1	FALSE	Chr2:13086603;Chr2:13334011;Chr2:13342860;Chr2:13382918;Chr2:13389154;Chr2:13413640;Chr2:13429720;Chr2:13458696	Chr2:13334011	""
bgs_V0.5_c1.5_rep4_env7_emmax_snp_region_r1	bgs	V0.5_c1.5	4	7	emmax_snp_region	2	1	Chr1	5845474	6118674	17	3	FALSE	Chr1:5845474;Chr1:5857834;Chr1:6020858;Chr1:6036721;Chr1:6061303;Chr1:6118674;Chr1:5873251;Chr1:5874444;Chr1:5894592;Chr1:5895785;Chr1:5897256;Chr1:5911059;Chr1:5917707;Chr1:5920492;Chr1:5923837;Chr1:5935166;Chr1:5937676	Chr1:6036721;Chr1:5894592;Chr1:5911059	""
bgs_V0.5_c1.5_rep4_env7_emmax_snp_region_r2	bgs	V0.5_c1.5	4	7	emmax_snp_region	2	2	Chr1	30470915	30492191	2	1	TRUE	Chr1:30470915;Chr1:30492191	Chr1:30470915	Chr1:30492191
bgs_V0.5_c1.5_rep4_env7_emmax_simes_region_r1	bgs	V0.5_c1.5	4	7	emmax_simes_region	2	1	Chr1	5845474	6118674	17	3	FALSE	Chr1:5845474;Chr1:5857834;Chr1:6020858;Chr1:6036721;Chr1:6061303;Chr1:6118674;Chr1:5873251;Chr1:5874444;Chr1:5894592;Chr1:5895785;Chr1:5897256;Chr1:5911059;Chr1:5917707;Chr1:5920492;Chr1:5923837;Chr1:5935166;Chr1:5937676	Chr1:6036721;Chr1:5894592;Chr1:5911059	""
bgs_V0.5_c1.5_rep4_env7_emmax_simes_region_r2	bgs	V0.5_c1.5	4	7	emmax_simes_region	2	2	Chr1	30470915	30492191	2	1	TRUE	Chr1:30470915;Chr1:30492191	Chr1:30470915	Chr1:30492191
bgs_V0.5_c1.5_rep4_env7_emmax_consensus_region_r1	bgs	V0.5_c1.5	4	7	emmax_consensus_region	2	1	Chr1	5845474	6118674	17	3	FALSE	Chr1:5845474;Chr1:5857834;Chr1:6020858;Chr1:6036721;Chr1:6061303;Chr1:6118674;Chr1:5873251;Chr1:5874444;Chr1:5894592;Chr1:5895785;Chr1:5897256;Chr1:5911059;Chr1:5917707;Chr1:5920492;Chr1:5923837;Chr1:5935166;Chr1:5937676	Chr1:6036721;Chr1:5894592;Chr1:5911059	""
bgs_V0.5_c1.5_rep4_env7_emmax_consensus_region_r2	bgs	V0.5_c1.5	4	7	emmax_consensus_region	2	2	Chr1	30470915	30492191	2	1	TRUE	Chr1:30470915;Chr1:30492191	Chr1:30470915	Chr1:30492191
bgs_V0.5_c1.5_rep4_env7_lfmm_snp_region_r1	bgs	V0.5_c1.5	4	7	lfmm_snp_region	2	1	Chr1	5845474	6118674	17	3	FALSE	Chr1:5845474;Chr1:5857834;Chr1:6020858;Chr1:6036721;Chr1:6061303;Chr1:6118674;Chr1:5873251;Chr1:5874444;Chr1:5894592;Chr1:5895785;Chr1:5897256;Chr1:5911059;Chr1:5917707;Chr1:5920492;Chr1:5923837;Chr1:5935166;Chr1:5937676	Chr1:6036721;Chr1:5894592;Chr1:5911059	""
bgs_V0.5_c1.5_rep4_env7_lfmm_snp_region_r2	bgs	V0.5_c1.5	4	7	lfmm_snp_region	2	2	Chr1	30470915	30492191	2	1	TRUE	Chr1:30470915;Chr1:30492191	Chr1:30470915	Chr1:30492191
bgs_V0.5_c1.5_rep4_env7_lfmm_snp_region_r3	bgs	V0.5_c1.5	4	7	lfmm_snp_region	2	3	Chr2	31206309	31216884	2	1	FALSE	Chr2:31206309;Chr2:31216884	Chr2:31206309	""
bgs_V0.5_c1.5_rep4_env7_lfmm_simes_region_r1	bgs	V0.5_c1.5	4	7	lfmm_simes_region	2	1	Chr1	5845474	6118674	17	3	FALSE	Chr1:5845474;Chr1:5857834;Chr1:6020858;Chr1:6036721;Chr1:6061303;Chr1:6118674;Chr1:5873251;Chr1:5874444;Chr1:5894592;Chr1:5895785;Chr1:5897256;Chr1:5911059;Chr1:5917707;Chr1:5920492;Chr1:5923837;Chr1:5935166;Chr1:5937676	Chr1:6036721;Chr1:5894592;Chr1:5911059	""
bgs_V0.5_c1.5_rep4_env7_lfmm_simes_region_r2	bgs	V0.5_c1.5	4	7	lfmm_simes_region	2	2	Chr1	30470915	30492191	2	1	TRUE	Chr1:30470915;Chr1:30492191	Chr1:30470915	Chr1:30492191
bgs_V0.5_c1.5_rep4_env7_lfmm_simes_region_r3	bgs	V0.5_c1.5	4	7	lfmm_simes_region	2	3	Chr2	31206309	31216884	2	1	FALSE	Chr2:31206309;Chr2:31216884	Chr2:31206309	""
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r1	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	1	Chr1	3151385	4509292	3	1	FALSE	Chr1:3151385;Chr1:3494210;Chr1:4509292	Chr1:3151385	""
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r2	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	2	Chr1	12252581	14466636	17	1	TRUE	Chr1:12252581;Chr1:12257953;Chr1:12260446;Chr1:12271063;Chr1:12289646;Chr1:12290685;Chr1:12292141;Chr1:12296554;Chr1:12305514;Chr1:12329646;Chr1:12331841;Chr1:12356004;Chr1:12362167;Chr1:12449706;Chr1:13842773;Chr1:14456163;Chr1:14466636	Chr1:12329646	Chr1:12271063
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r3	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	3	Chr1	15995407	16540127	40	3	FALSE	Chr1:15995407;Chr1:16020517;Chr1:16045065;Chr1:16049102;Chr1:16070746;Chr1:16095244;Chr1:16097377;Chr1:16143594;Chr1:16143630;Chr1:16191091;Chr1:16194995;Chr1:16222660;Chr1:16229659;Chr1:16253345;Chr1:16262774;Chr1:16178641;Chr1:16241277;Chr1:16265191;Chr1:16280354;Chr1:16285332;Chr1:16291896;Chr1:16309266;Chr1:16312806;Chr1:16335544;Chr1:16342518;Chr1:16380045;Chr1:16392745;Chr1:16444997;Chr1:16455130;Chr1:16466135;Chr1:16475797;Chr1:16476914;Chr1:16483181;Chr1:16488773;Chr1:16490711;Chr1:16496724;Chr1:16524493;Chr1:16526573;Chr1:16537790;Chr1:16540127	Chr1:16194995;Chr1:16241277;Chr1:16380045	""
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r4	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	4	Chr1	28522053	28678950	13	1	TRUE	Chr1:28522053;Chr1:28522971;Chr1:28523411;Chr1:28561980;Chr1:28565716;Chr1:28594708;Chr1:28606118;Chr1:28607136;Chr1:28608273;Chr1:28616985;Chr1:28618035;Chr1:28644427;Chr1:28678950	Chr1:28594708	Chr1:28644427
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r5	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	5	Chr1	29162412	29188826	2	1	FALSE	Chr1:29162412;Chr1:29188826	Chr1:29162412	""
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r6	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	6	Chr2	5004810	5770664	4	1	FALSE	Chr2:5004810;Chr2:5015242;Chr2:5015267;Chr2:5770664	Chr2:5004810	""
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r7	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	7	Chr2	19134341	19358966	22	1	FALSE	Chr2:19134341;Chr2:19193490;Chr2:19202691;Chr2:19206369;Chr2:19219792;Chr2:19222120;Chr2:19229718;Chr2:19249894;Chr2:19255157;Chr2:19263304;Chr2:19266909;Chr2:19268399;Chr2:19269901;Chr2:19272626;Chr2:19284424;Chr2:19285639;Chr2:19289708;Chr2:19336824;Chr2:19344996;Chr2:19345536;Chr2:19345609;Chr2:19358966	Chr2:19219792	""
bgs_V0.5_c1.5_rep4_env8_emmax_snp_region_r8	bgs	V0.5_c1.5	4	8	emmax_snp_region	2	8	Chr2	24384252	25194677	5	1	FALSE	Chr2:24384252;Chr2:24526074;Chr2:24834946;Chr2:24860053;Chr2:25194677	Chr2:24526074	""
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r1	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	1	Chr1	3151385	4509292	3	1	FALSE	Chr1:3151385;Chr1:3494210;Chr1:4509292	Chr1:3151385	""
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r2	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	2	Chr1	12252581	14466636	17	1	TRUE	Chr1:12252581;Chr1:12257953;Chr1:12260446;Chr1:12271063;Chr1:12289646;Chr1:12290685;Chr1:12292141;Chr1:12296554;Chr1:12305514;Chr1:12329646;Chr1:12331841;Chr1:12356004;Chr1:12362167;Chr1:12449706;Chr1:13842773;Chr1:14456163;Chr1:14466636	Chr1:12329646	Chr1:12271063
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r3	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	3	Chr1	15995407	16262774	15	1	FALSE	Chr1:15995407;Chr1:16020517;Chr1:16045065;Chr1:16049102;Chr1:16070746;Chr1:16095244;Chr1:16097377;Chr1:16143594;Chr1:16143630;Chr1:16191091;Chr1:16194995;Chr1:16222660;Chr1:16229659;Chr1:16253345;Chr1:16262774	Chr1:16194995	""
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r4	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	4	Chr1	16380045	16540127	15	1	FALSE	Chr1:16380045;Chr1:16392745;Chr1:16444997;Chr1:16455130;Chr1:16466135;Chr1:16475797;Chr1:16476914;Chr1:16483181;Chr1:16488773;Chr1:16490711;Chr1:16496724;Chr1:16524493;Chr1:16526573;Chr1:16537790;Chr1:16540127	Chr1:16380045	""
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r5	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	5	Chr1	29162412	29188826	2	1	FALSE	Chr1:29162412;Chr1:29188826	Chr1:29162412	""
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r6	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	6	Chr2	5004810	5770664	4	1	FALSE	Chr2:5004810;Chr2:5015242;Chr2:5015267;Chr2:5770664	Chr2:5004810	""
bgs_V0.5_c1.5_rep4_env8_emmax_simes_region_r7	bgs	V0.5_c1.5	4	8	emmax_simes_region	2	7	Chr2	24384252	25194677	5	1	FALSE	Chr2:24384252;Chr2:24526074;Chr2:24834946;Chr2:24860053;Chr2:25194677	Chr2:24526074	""
bgs_V0.5_c1.5_rep4_env8_emmax_consensus_region_r1	bgs	V0.5_c1.5	4	8	emmax_consensus_region	2	1	Chr1	3151385	4509292	3	1	FALSE	Chr1:3151385;Chr1:3494210;Chr1:4509292	Chr1:3151385	""
bgs_V0.5_c1.5_rep4_env8_emmax_consensus_region_r2	bgs	V0.5_c1.5	4	8	emmax_consensus_region	2	2	Chr1	12252581	14466636	17	1	TRUE	Chr1:12252581;Chr1:12257953;Chr1:12260446;Chr1:12271063;Chr1:12289646;Chr1:12290685;Chr1:12292141;Chr1:12296554;Chr1:12305514;Chr1:12329646;Chr1:12331841;Chr1:12356004;Chr1:12362167;Chr1:12449706;Chr1:13842773;Chr1:14456163;Chr1:14466636	Chr1:12329646	Chr1:12271063
bgs_V0.5_c1.5_rep4_env8_emmax_consensus_region_r3	bgs	V0.5_c1.5	4	8	emmax_consensus_region	2	3	Chr1	15995407	16262774	15	1	FALSE	Chr1:15995407;Chr1:16020517;Chr1:16045065;Chr1:16049102;Chr1:16070746;Chr1:16095244;Chr1:16097377;Chr1:16143594;Chr1:16143630;Chr1:16191091;Chr1:16194995;Chr1:16222660;Chr1:16229659;Chr1:16253345;Chr1:16262774	Chr1:16194995	""
bgs_V0.5_c1.5_rep4_env8_emmax_consensus_region_r4	bgs	V0.5_c1.5	4	8	emmax_consensus_region	2	4	Chr1	16380045	16540127	15	1	FALSE	Chr1:16380045;Chr1:16392745;Chr1:16444997;Chr1:16455130;Chr1:16466135;Chr1:16475797;Chr1:16476914;Chr1:16483181;Chr1:16488773;Chr1:16490711;Chr1:16496724;Chr1:16524493;Chr1:16526573;Chr1:16537790;Chr1:16540127	Chr1:16380045	""
bgs_V0.5_c1.5_rep4_env8_emmax_consensus_region_r5	bgs	V0.5_c1.5	4	8	emmax_consensus_region	2	5	Chr2	24384252	25194677	5	1	FALSE	Chr2:24384252;Chr2:24526074;Chr2:24834946;Chr2:24860053;Chr2:25194677	Chr2:24526074	""
bgs_V0.5_c1.5_rep4_env8_lfmm_snp_region_r1	bgs	V0.5_c1.5	4	8	lfmm_snp_region	2	1	Chr1	3151385	4509292	3	1	FALSE	Chr1:3151385;Chr1:3494210;Chr1:4509292	Chr1:3151385	""
bgs_V0.5_c1.5_rep4_env8_lfmm_snp_region_r2	bgs	V0.5_c1.5	4	8	lfmm_snp_region	2	2	Chr1	5362452	5362452	1	1	FALSE	Chr1:5362452	Chr1:5362452	""
bgs_V0.5_c1.5_rep4_env8_lfmm_snp_region_r3	bgs	V0.5_c1.5	4	8	lfmm_snp_region	2	3	Chr1	12252581	14466636	17	1	TRUE	Chr1:12252581;Chr1:12257953;Chr1:12260446;Chr1:12271063;Chr1:12289646;Chr1:12290685;Chr1:12292141;Chr1:12296554;Chr1:12305514;Chr1:12329646;Chr1:12331841;Chr1:12356004;Chr1:12362167;Chr1:12449706;Chr1:13842773;Chr1:14456163;Chr1:14466636	Chr1:12329646	Chr1:12271063
bgs_V0.5_c1.5_rep4_env8_lfmm_snp_region_r4	bgs	V0.5_c1.5	4	8	lfmm_snp_region	2	4	Chr1	15995407	16262774	15	1	FALSE	Chr1:15995407;Chr1:16020517;Chr1:16045065;Chr1:16049102;Chr1:16070746;Chr1:16095244;Chr1:16097377;Chr1:16143594;Chr1:16143630;Chr1:16191091;Chr1:16194995;Chr1:16222660;Chr1:16229659;Chr1:16253345;Chr1:16262774	Chr1:16194995	""
bgs_V0.5_c1.5_rep4_env8_lfmm_snp_region_r5	bgs	V0.5_c1.5	4	8	lfmm_snp_region	2	5	Chr1	16380045	16540127	15	1	FALSE	Chr1:16380045;Chr1:16392745;Chr1:16444997;Chr1:16455130;Chr1:16466135;Chr1:16475797;Chr1:16476914;Chr1:16483181;Chr1:16488773;Chr1:16490711;Chr1:16496724;Chr1:16524493;Chr1:16526573;Chr1:16537790;Chr1:16540127	Chr1:16380045	""
bgs_V0.5_c1.5_rep4_env8_lfmm_snp_region_r6	bgs	V0.5_c1.5	4	8	lfmm_snp_region	2	6	Chr1	28522053	28678950	13	1	TRUE	Chr1:28522053;Chr1:28522971;Chr1:28523411;Chr1:28561980;Chr1:28565716;Chr1:28594708;Chr1:28606118;Chr1:28607136;Chr1:28608273;Chr1:28616985;Chr1:28618035;Chr1:28644427;Chr1:28678950	Chr1:28594708	Chr1:28644427
bgs_V0.5_c1.5_rep4_env8_lfmm_simes_region_r1	bgs	V0.5_c1.5	4	8	lfmm_simes_region	2	1	Chr1	12252581	14466636	17	1	TRUE	Chr1:12252581;Chr1:12257953;Chr1:12260446;Chr1:12271063;Chr1:12289646;Chr1:12290685;Chr1:12292141;Chr1:12296554;Chr1:12305514;Chr1:12329646;Chr1:12331841;Chr1:12356004;Chr1:12362167;Chr1:12449706;Chr1:13842773;Chr1:14456163;Chr1:14466636	Chr1:12329646	Chr1:12271063
bgs_V0.5_c1.5_rep4_env8_lfmm_simes_region_r2	bgs	V0.5_c1.5	4	8	lfmm_simes_region	2	2	Chr1	15995407	16262774	15	1	FALSE	Chr1:15995407;Chr1:16020517;Chr1:16045065;Chr1:16049102;Chr1:16070746;Chr1:16095244;Chr1:16097377;Chr1:16143594;Chr1:16143630;Chr1:16191091;Chr1:16194995;Chr1:16222660;Chr1:16229659;Chr1:16253345;Chr1:16262774	Chr1:16194995	""
bgs_V0.5_c1.5_rep4_env8_lfmm_simes_region_r3	bgs	V0.5_c1.5	4	8	lfmm_simes_region	2	3	Chr1	16380045	16540127	15	1	FALSE	Chr1:16380045;Chr1:16392745;Chr1:16444997;Chr1:16455130;Chr1:16466135;Chr1:16475797;Chr1:16476914;Chr1:16483181;Chr1:16488773;Chr1:16490711;Chr1:16496724;Chr1:16524493;Chr1:16526573;Chr1:16537790;Chr1:16540127	Chr1:16380045	""
bgs_V0.5_c1.5_rep4_env8_lfmm_simes_region_r4	bgs	V0.5_c1.5	4	8	lfmm_simes_region	2	4	Chr1	28522053	28678950	13	1	TRUE	Chr1:28522053;Chr1:28522971;Chr1:28523411;Chr1:28561980;Chr1:28565716;Chr1:28594708;Chr1:28606118;Chr1:28607136;Chr1:28608273;Chr1:28616985;Chr1:28618035;Chr1:28644427;Chr1:28678950	Chr1:28594708	Chr1:28644427
bgs_V0.5_c1.5_rep4_env9_emmax_snp_region_r1	bgs	V0.5_c1.5	4	9	emmax_snp_region	2	1	Chr1	12303518	12643852	18	1	FALSE	Chr1:12303518;Chr1:12309095;Chr1:12324977;Chr1:12329348;Chr1:12342120;Chr1:12345487;Chr1:12362167;Chr1:12399854;Chr1:12449706;Chr1:12460856;Chr1:12463566;Chr1:12471774;Chr1:12476555;Chr1:12575511;Chr1:12601751;Chr1:12621465;Chr1:12622892;Chr1:12643852	Chr1:12575511	""
bgs_V0.5_c1.5_rep4_env9_emmax_consensus_region_r1	bgs	V0.5_c1.5	4	9	emmax_consensus_region	2	1	Chr1	12303518	12643852	18	1	FALSE	Chr1:12303518;Chr1:12309095;Chr1:12324977;Chr1:12329348;Chr1:12342120;Chr1:12345487;Chr1:12362167;Chr1:12399854;Chr1:12449706;Chr1:12460856;Chr1:12463566;Chr1:12471774;Chr1:12476555;Chr1:12575511;Chr1:12601751;Chr1:12621465;Chr1:12622892;Chr1:12643852	Chr1:12575511	""
bgs_V0.5_c1.5_rep4_env9_lfmm_snp_region_r1	bgs	V0.5_c1.5	4	9	lfmm_snp_region	2	1	Chr1	11466158	12047636	24	2	FALSE	Chr1:11466158;Chr1:11473972;Chr1:11480200;Chr1:11499260;Chr1:11506780;Chr1:11578248;Chr1:11587524;Chr1:11628419;Chr1:11642950;Chr1:11664211;Chr1:11708195;Chr1:11756168;Chr1:11806656;Chr1:11858151;Chr1:11875068;Chr1:11880693;Chr1:11884268;Chr1:11885745;Chr1:11892174;Chr1:11896573;Chr1:12008574;Chr1:12012933;Chr1:12038354;Chr1:12047636	Chr1:11578248;Chr1:11892174	""
bgs_V0.5_c1.5_rep4_env9_lfmm_snp_region_r2	bgs	V0.5_c1.5	4	9	lfmm_snp_region	2	2	Chr1	12303518	12643852	18	1	FALSE	Chr1:12303518;Chr1:12309095;Chr1:12324977;Chr1:12329348;Chr1:12342120;Chr1:12345487;Chr1:12362167;Chr1:12399854;Chr1:12449706;Chr1:12460856;Chr1:12463566;Chr1:12471774;Chr1:12476555;Chr1:12575511;Chr1:12601751;Chr1:12621465;Chr1:12622892;Chr1:12643852	Chr1:12575511	""
bgs_V0.5_c1.5_rep4_env9_lfmm_simes_region_r1	bgs	V0.5_c1.5	4	9	lfmm_simes_region	2	1	Chr1	12303518	12643852	18	1	FALSE	Chr1:12303518;Chr1:12309095;Chr1:12324977;Chr1:12329348;Chr1:12342120;Chr1:12345487;Chr1:12362167;Chr1:12399854;Chr1:12449706;Chr1:12460856;Chr1:12463566;Chr1:12471774;Chr1:12476555;Chr1:12575511;Chr1:12601751;Chr1:12621465;Chr1:12622892;Chr1:12643852	Chr1:12575511	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r1	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	1	Chr1	3843666	5589667	30	4	FALSE	Chr1:3843666;Chr1:3850263;Chr1:3865533;Chr1:3875928;Chr1:4353410;Chr1:4432722;Chr1:4435610;Chr1:4444801;Chr1:4557229;Chr1:4564137;Chr1:4601977;Chr1:4111963;Chr1:4202755;Chr1:4203994;Chr1:4208626;Chr1:4216201;Chr1:4274511;Chr1:4298038;Chr1:4418059;Chr1:4516275;Chr1:4970176;Chr1:4983897;Chr1:4987880;Chr1:5543938;Chr1:5567961;Chr1:4475154;Chr1:5545311;Chr1:5545683;Chr1:5587784;Chr1:5589667	Chr1:3865533;Chr1:4353410;Chr1:4111963;Chr1:5545311	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r2	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	2	Chr1	8367088	9203058	27	1	FALSE	Chr1:8367088;Chr1:8446584;Chr1:8447040;Chr1:8460158;Chr1:8711519;Chr1:8782653;Chr1:8927837;Chr1:8985891;Chr1:9042418;Chr1:9044245;Chr1:9047030;Chr1:9053809;Chr1:9054102;Chr1:9061088;Chr1:9066423;Chr1:9068668;Chr1:9076185;Chr1:9090133;Chr1:9120273;Chr1:9126134;Chr1:9132639;Chr1:9132744;Chr1:9132980;Chr1:9168369;Chr1:9183221;Chr1:9202436;Chr1:9203058	Chr1:9076185	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r3	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	3	Chr1	19085358	20430494	11	1	FALSE	Chr1:19085358;Chr1:20114989;Chr1:20126141;Chr1:20168106;Chr1:20272922;Chr1:20282619;Chr1:20357180;Chr1:20357490;Chr1:20372755;Chr1:20410807;Chr1:20430494	Chr1:20114989	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r4	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	4	Chr1	22610003	24650397	54	1	FALSE	Chr1:22610003;Chr1:22642072;Chr1:22665743;Chr1:22706388;Chr1:22740914;Chr1:22759227;Chr1:22792752;Chr1:22943516;Chr1:22990777;Chr1:23008240;Chr1:23050833;Chr1:23076411;Chr1:23098605;Chr1:23105860;Chr1:23129287;Chr1:23132106;Chr1:23147096;Chr1:23160748;Chr1:23163301;Chr1:23172218;Chr1:23173712;Chr1:23175635;Chr1:23192699;Chr1:23193592;Chr1:23194474;Chr1:23196437;Chr1:23201785;Chr1:23221670;Chr1:23269076;Chr1:23289039;Chr1:23354487;Chr1:23362760;Chr1:23390968;Chr1:23412207;Chr1:23423613;Chr1:23432920;Chr1:23447736;Chr1:23472841;Chr1:23544110;Chr1:23551719;Chr1:23596135;Chr1:23599346;Chr1:23646802;Chr1:23724566;Chr1:23756419;Chr1:24405531;Chr1:24427469;Chr1:24436937;Chr1:24495886;Chr1:24573112;Chr1:24579886;Chr1:24606504;Chr1:24620886;Chr1:24650397	Chr1:22792752	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r5	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	5	Chr1	26044425	27210741	96	1	TRUE	Chr1:26044425;Chr1:26049093;Chr1:26065882;Chr1:26096269;Chr1:26131098;Chr1:26141472;Chr1:26148629;Chr1:26153921;Chr1:26176180;Chr1:26185781;Chr1:26219299;Chr1:26240422;Chr1:26245673;Chr1:26247380;Chr1:26272550;Chr1:26304080;Chr1:26305380;Chr1:26313015;Chr1:26318099;Chr1:26338261;Chr1:26341029;Chr1:26344347;Chr1:26351057;Chr1:26377558;Chr1:26411787;Chr1:26442714;Chr1:26480139;Chr1:26497878;Chr1:26512793;Chr1:26534714;Chr1:26560754;Chr1:26569997;Chr1:26600825;Chr1:26609437;Chr1:26671873;Chr1:26686144;Chr1:26696677;Chr1:26709636;Chr1:26711863;Chr1:26712788;Chr1:26725311;Chr1:26731851;Chr1:26735933;Chr1:26736737;Chr1:26740612;Chr1:26747329;Chr1:26767611;Chr1:26776281;Chr1:26792734;Chr1:26839208;Chr1:26841301;Chr1:26847137;Chr1:26868013;Chr1:26869702;Chr1:26871805;Chr1:26877899;Chr1:26878114;Chr1:26883745;Chr1:26887635;Chr1:26888649;Chr1:26898384;Chr1:26906746;Chr1:26915294;Chr1:26916157;Chr1:26920268;Chr1:26924100;Chr1:26934088;Chr1:26948836;Chr1:26957587;Chr1:26957747;Chr1:26958406;Chr1:26967602;Chr1:26986464;Chr1:26991565;Chr1:26995332;Chr1:27013606;Chr1:27047099;Chr1:27077284;Chr1:27095614;Chr1:27100768;Chr1:27102108;Chr1:27126229;Chr1:27142343;Chr1:27145892;Chr1:27149710;Chr1:27161728;Chr1:27162145;Chr1:27163705;Chr1:27173983;Chr1:27176435;Chr1:27183528;Chr1:27184016;Chr1:27194943;Chr1:27200618;Chr1:27203611;Chr1:27210741	Chr1:26991565	Chr1:27173983
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r6	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	6	Chr1	27542354	28740103	21	1	FALSE	Chr1:27542354;Chr1:27564283;Chr1:27638099;Chr1:27739834;Chr1:27787132;Chr1:27805729;Chr1:27886986;Chr1:27937991;Chr1:28350177;Chr1:28353538;Chr1:28353837;Chr1:28476989;Chr1:28479831;Chr1:28509495;Chr1:28546251;Chr1:28579433;Chr1:28719963;Chr1:28720564;Chr1:28721116;Chr1:28723398;Chr1:28740103	Chr1:27739834	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r7	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	7	Chr2	1700465	1700465	1	1	FALSE	Chr2:1700465	Chr2:1700465	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r8	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	8	Chr2	26445832	26591997	15	1	FALSE	Chr2:26445832;Chr2:26453942;Chr2:26456388;Chr2:26458639;Chr2:26460973;Chr2:26479926;Chr2:26495766;Chr2:26511428;Chr2:26513384;Chr2:26533759;Chr2:26536214;Chr2:26555860;Chr2:26577825;Chr2:26578455;Chr2:26591997	Chr2:26495766	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r9	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	9	Chr2	26977639	27056760	3	1	FALSE	Chr2:26977639;Chr2:26989990;Chr2:27056760	Chr2:26977639	""
bgs_V0.5_c1.5_rep4_env10_emmax_snp_region_r10	bgs	V0.5_c1.5	4	10	emmax_snp_region	2	10	Chr2	30662770	30662770	1	1	FALSE	Chr2:30662770	Chr2:30662770	""
